missing data:, DRP, on date:, 3,3,2000, filled with average monthly concentration (mg/L):, 0.042793, to get load of (kg/d):, 429.2575 
missing data:, DRP, on date:, 3,4,2000, filled with average monthly concentration (mg/L):, 0.03823, to get load of (kg/d):, 328.2988 
missing data:, DRP, on date:, 3,7,2000, filled with average monthly concentration (mg/L):, 0.025487, to get load of (kg/d):, 85.4263 
missing data:, DRP, on date:, 3,8,2000, filled with average monthly concentration (mg/L):, 0.02217, to get load of (kg/d):, 61.8342 
missing data:, DRP, on date:, 3,11,2000, filled with average monthly concentration (mg/L):, 0.014505, to get load of (kg/d):, 46.4887 
missing data:, DRP, on date:, 6,7,2000, filled with average monthly concentration (mg/L):, 0.077115, to get load of (kg/d):, 3301.6788 
missing data:, DRP, on date:, 6,8,2000, filled with average monthly concentration (mg/L):, 0.076422, to get load of (kg/d):, 2355.8355 
missing data:, DRP, on date:, 6,9,2000, filled with average monthly concentration (mg/L):, 0.076813, to get load of (kg/d):, 1539.1411 
missing data:, DRP, on date:, 6,10,2000, filled with average monthly concentration (mg/L):, 0.07776, to get load of (kg/d):, 1052.0571 
missing data:, DRP, on date:, 6,11,2000, filled with average monthly concentration (mg/L):, 0.07899, to get load of (kg/d):, 844.523 
missing data:, DRP, on date:, 6,12,2000, filled with average monthly concentration (mg/L):, 0.08025, to get load of (kg/d):, 653.8034 
missing data:, DRP, on date:, 6,13,2000, filled with average monthly concentration (mg/L):, 0.08142, to get load of (kg/d):, 946.1993 
missing data:, DRP, on date:, 7,9,2000, filled with average monthly concentration (mg/L):, 0.094335, to get load of (kg/d):, 937.0371 
missing data:, DRP, on date:, 8,1,2000, filled with average monthly concentration (mg/L):, 0.01518, to get load of (kg/d):, 72.0496 
missing data:, DRP, on date:, 8,2,2000, filled with average monthly concentration (mg/L):, 0.01783, to get load of (kg/d):, 104.6937 
missing data:, DRP, on date:, 8,6,2000, filled with average monthly concentration (mg/L):, 0.0301, to get load of (kg/d):, 146.5472 
missing data:, DRP, on date:, 10,6,2000, filled with average monthly concentration (mg/L):, 0.091885, to get load of (kg/d):, 1899.5872 
missing data:, DRP, on date:, 10,7,2000, filled with average monthly concentration (mg/L):, 0.095575, to get load of (kg/d):, 2125.5245 
missing data:, DRP, on date:, 10,8,2000, filled with average monthly concentration (mg/L):, 0.098815, to get load of (kg/d):, 1921.9758 
missing data:, DRP, on date:, 10,27,2000, filled with average monthly concentration (mg/L):, 0.03591, to get load of (kg/d):, 62.9052 
missing data:, DRP, on date:, 12,18,2000, filled with average monthly concentration (mg/L):, 0.07945, to get load of (kg/d):, 3401.6519 
missing data:, DRP, on date:, 2,9,2001, filled with average monthly concentration (mg/L):, 0.1362, to get load of (kg/d):, 3998.5297 
missing data:, DRP, on date:, 2,10,2001, filled with average monthly concentration (mg/L):, 0.13622, to get load of (kg/d):, 13263.7376 
missing data:, DRP, on date:, 2,11,2001, filled with average monthly concentration (mg/L):, 0.12851, to get load of (kg/d):, 12984.5826 
