missing data:, TN, on date:, 2,8,2000, filled with average monthly concentration (mg/L):, 7.3172, to get load of (kg/d):, 4475.501 
missing data:, TN, on date:, 2,9,2000, filled with average monthly concentration (mg/L):, 7.1576, to get load of (kg/d):, 4377.8767 
missing data:, TN, on date:, 2,10,2000, filled with average monthly concentration (mg/L):, 7.1031, to get load of (kg/d):, 8689.1333 
missing data:, TN, on date:, 2,11,2000, filled with average monthly concentration (mg/L):, 7.1336, to get load of (kg/d):, 12216.9696 
missing data:, TN, on date:, 2,12,2000, filled with average monthly concentration (mg/L):, 7.3247, to get load of (kg/d):, 16128.4723 
missing data:, TN, on date:, 2,13,2000, filled with average monthly concentration (mg/L):, 7.5651, to get load of (kg/d):, 27762.9474 
missing data:, TN, on date:, 3,3,2000, filled with average monthly concentration (mg/L):, 11.9407, to get load of (kg/d):, 119776.1996 
missing data:, TN, on date:, 3,4,2000, filled with average monthly concentration (mg/L):, 11.69, to get load of (kg/d):, 100387.2919 
missing data:, TN, on date:, 3,7,2000, filled with average monthly concentration (mg/L):, 10.8968, to get load of (kg/d):, 36523.8765 
missing data:, TN, on date:, 3,8,2000, filled with average monthly concentration (mg/L):, 10.6296, to get load of (kg/d):, 29646.9134 
missing data:, TN, on date:, 3,11,2000, filled with average monthly concentration (mg/L):, 10.1093, to get load of (kg/d):, 32400.3783 
missing data:, TN, on date:, 6,7,2000, filled with average monthly concentration (mg/L):, 11.9999, to get load of (kg/d):, 513775.8804 
missing data:, TN, on date:, 6,8,2000, filled with average monthly concentration (mg/L):, 12.1596, to get load of (kg/d):, 374841.0575 
missing data:, TN, on date:, 6,9,2000, filled with average monthly concentration (mg/L):, 12.3531, to get load of (kg/d):, 247524.3958 
missing data:, TN, on date:, 6,10,2000, filled with average monthly concentration (mg/L):, 12.3004, to get load of (kg/d):, 166418.5796 
missing data:, TN, on date:, 6,11,2000, filled with average monthly concentration (mg/L):, 12.4068, to get load of (kg/d):, 132647.3238 
missing data:, TN, on date:, 6,12,2000, filled with average monthly concentration (mg/L):, 12.4022, to get load of (kg/d):, 101041.6054 
missing data:, TN, on date:, 6,13,2000, filled with average monthly concentration (mg/L):, 12.5357, to get load of (kg/d):, 145679.6159 
missing data:, TN, on date:, 7,9,2000, filled with average monthly concentration (mg/L):, 6.6479, to get load of (kg/d):, 66034.0257 
missing data:, TN, on date:, 8,21,2000, filled with average monthly concentration (mg/L):, 2.438, to get load of (kg/d):, 3608.7277 
missing data:, TN, on date:, 8,22,2000, filled with average monthly concentration (mg/L):, 2.438, to get load of (kg/d):, 3256.8022 
missing data:, TN, on date:, 8,23,2000, filled with average monthly concentration (mg/L):, 2.438, to get load of (kg/d):, 4127.6687 
missing data:, TN, on date:, 8,24,2000, filled with average monthly concentration (mg/L):, 2.3664, to get load of (kg/d):, 2674.746 
missing data:, TN, on date:, 8,25,2000, filled with average monthly concentration (mg/L):, 2.3664, to get load of (kg/d):, 4492.6469 
missing data:, TN, on date:, 8,26,2000, filled with average monthly concentration (mg/L):, 2.3664, to get load of (kg/d):, 4342.1201 
missing data:, TN, on date:, 8,27,2000, filled with average monthly concentration (mg/L):, 2.3664, to get load of (kg/d):, 4631.5948 
missing data:, TN, on date:, 8,28,2000, filled with average monthly concentration (mg/L):, 2.2404, to get load of (kg/d):, 8660.2975 
missing data:, TN, on date:, 8,29,2000, filled with average monthly concentration (mg/L):, 2.2295, to get load of (kg/d):, 13527.3034 
missing data:, TN, on date:, 8,30,2000, filled with average monthly concentration (mg/L):, 2.2451, to get load of (kg/d):, 15544.8945 
missing data:, TN, on date:, 8,31,2000, filled with average monthly concentration (mg/L):, 2.2252, to get load of (kg/d):, 10289.1385 
missing data:, TN, on date:, 9,1,2000, filled with average monthly concentration (mg/L):, 2.315, to get load of (kg/d):, 8382.2623 
missing data:, TN, on date:, 9,2,2000, filled with average monthly concentration (mg/L):, 2.4209, to get load of (kg/d):, 6219.153 
missing data:, TN, on date:, 9,3,2000, filled with average monthly concentration (mg/L):, 2.4859, to get load of (kg/d):, 5102.8437 
missing data:, TN, on date:, 9,5,2000, filled with average monthly concentration (mg/L):, 2.657, to get load of (kg/d):, 3783.3715 
missing data:, TN, on date:, 9,6,2000, filled with average monthly concentration (mg/L):, 2.657, to get load of (kg/d):, 3438.8377 
missing data:, TN, on date:, 9,7,2000, filled with average monthly concentration (mg/L):, 2.657, to get load of (kg/d):, 3620.8556 
missing data:, TN, on date:, 9,8,2000, filled with average monthly concentration (mg/L):, 2.657, to get load of (kg/d):, 3393.3332 
missing data:, TN, on date:, 9,9,2000, filled with average monthly concentration (mg/L):, 2.657, to get load of (kg/d):, 3068.3013 
missing data:, TN, on date:, 9,10,2000, filled with average monthly concentration (mg/L):, 2.657, to get load of (kg/d):, 4595.9513 
missing data:, TN, on date:, 9,11,2000, filled with average monthly concentration (mg/L):, 2.657, to get load of (kg/d):, 14626.4364 
missing data:, TN, on date:, 10,6,2000, filled with average monthly concentration (mg/L):, 4.3016, to get load of (kg/d):, 88929.6673 
missing data:, TN, on date:, 10,7,2000, filled with average monthly concentration (mg/L):, 4.4996, to get load of (kg/d):, 100067.2227 
missing data:, TN, on date:, 10,8,2000, filled with average monthly concentration (mg/L):, 4.7203, to get load of (kg/d):, 91811.3738 
missing data:, TN, on date:, 10,27,2000, filled with average monthly concentration (mg/L):, 4.9417, to get load of (kg/d):, 8656.6256 
missing data:, TN, on date:, 11,14,2000, filled with average monthly concentration (mg/L):, 3.098, to get load of (kg/d):, 20994.9523 
missing data:, TN, on date:, 11,20,2000, filled with average monthly concentration (mg/L):, 3.3137, to get load of (kg/d):, 13052.441 
missing data:, TN, on date:, 11,21,2000, filled with average monthly concentration (mg/L):, 3.4242, to get load of (kg/d):, 10723.2956 
missing data:, TN, on date:, 11,22,2000, filled with average monthly concentration (mg/L):, 3.5477, to get load of (kg/d):, 8419.2633 
missing data:, TN, on date:, 11,23,2000, filled with average monthly concentration (mg/L):, 3.6392, to get load of (kg/d):, 6944.741 
missing data:, TN, on date:, 11,24,2000, filled with average monthly concentration (mg/L):, 3.7429, to get load of (kg/d):, 7206.7542 
missing data:, TN, on date:, 11,25,2000, filled with average monthly concentration (mg/L):, 3.8231, to get load of (kg/d):, 7108.5948 
missing data:, TN, on date:, 11,26,2000, filled with average monthly concentration (mg/L):, 3.9253, to get load of (kg/d):, 7644.4758 
missing data:, TN, on date:, 12,17,2000, filled with average monthly concentration (mg/L):, 7.9798, to get load of (kg/d):, 232325.793 
missing data:, TN, on date:, 12,18,2000, filled with average monthly concentration (mg/L):, 8.4591, to get load of (kg/d):, 362174.6674 
missing data:, TN, on date:, 2,9,2001, filled with average monthly concentration (mg/L):, 6.407, to get load of (kg/d):, 188102.9387 
missing data:, TN, on date:, 2,10,2001, filled with average monthly concentration (mg/L):, 6.7701, to get load of (kg/d):, 659232.0552 
missing data:, TN, on date:, 2,11,2001, filled with average monthly concentration (mg/L):, 7.0502, to get load of (kg/d):, 712378.7314 
missing data:, TN, on date:, 2,12,2001, filled with average monthly concentration (mg/L):, 7.3072, to get load of (kg/d):, 564932.9219 
missing data:, TN, on date:, 2,13,2001, filled with average monthly concentration (mg/L):, 7.6047, to get load of (kg/d):, 442806.9097 
missing data:, TN, on date:, 2,14,2001, filled with average monthly concentration (mg/L):, 7.8263, to get load of (kg/d):, 352314.764 
missing data:, TN, on date:, 2,15,2001, filled with average monthly concentration (mg/L):, 8.0521, to get load of (kg/d):, 459011.1829 
missing data:, TN, on date:, 2,16,2001, filled with average monthly concentration (mg/L):, 8.2331, to get load of (kg/d):, 537811.3089 
missing data:, TN, on date:, 2,17,2001, filled with average monthly concentration (mg/L):, 8.5254, to get load of (kg/d):, 477648.7794 
missing data:, TN, on date:, 2,18,2001, filled with average monthly concentration (mg/L):, 8.6589, to get load of (kg/d):, 353782.8505 
missing data:, TN, on date:, 4,7,2001, filled with average monthly concentration (mg/L):, 7.1465, to get load of (kg/d):, 447602.804 
missing data:, TN, on date:, 4,8,2001, filled with average monthly concentration (mg/L):, 7.3601, to get load of (kg/d):, 399758.0893 
missing data:, TN, on date:, 7,1,2001, filled with average monthly concentration (mg/L):, 5.5076, to get load of (kg/d):, 15495.9479 
missing data:, TN, on date:, 7,2,2001, filled with average monthly concentration (mg/L):, 5.1383, to get load of (kg/d):, 12206.5581 
missing data:, TN, on date:, 7,3,2001, filled with average monthly concentration (mg/L):, 4.7744, to get load of (kg/d):, 11307.2403 
missing data:, TN, on date:, 7,4,2001, filled with average monthly concentration (mg/L):, 4.36, to get load of (kg/d):, 10165.747 
