missing data:, TP, on date:, 3,3,2000, filled with average monthly concentration (mg/L):, 0.20703, to get load of (kg/d):, 2076.689 
missing data:, TP, on date:, 3,4,2000, filled with average monthly concentration (mg/L):, 0.1983, to get load of (kg/d):, 1702.9033 
missing data:, TP, on date:, 3,7,2000, filled with average monthly concentration (mg/L):, 0.14919, to get load of (kg/d):, 500.0596 
missing data:, TP, on date:, 3,8,2000, filled with average monthly concentration (mg/L):, 0.1408, to get load of (kg/d):, 392.7086 
missing data:, TP, on date:, 3,11,2000, filled with average monthly concentration (mg/L):, 0.1462, to get load of (kg/d):, 468.5717 
missing data:, TP, on date:, 6,7,2000, filled with average monthly concentration (mg/L):, 0.44794, to get load of (kg/d):, 19178.7377 
missing data:, TP, on date:, 6,8,2000, filled with average monthly concentration (mg/L):, 0.34291, to get load of (kg/d):, 10570.748 
missing data:, TP, on date:, 6,9,2000, filled with average monthly concentration (mg/L):, 0.25176, to get load of (kg/d):, 5044.6915 
missing data:, TP, on date:, 6,10,2000, filled with average monthly concentration (mg/L):, 0.20125, to get load of (kg/d):, 2722.7861 
missing data:, TP, on date:, 6,11,2000, filled with average monthly concentration (mg/L):, 0.17455, to get load of (kg/d):, 1866.224 
missing data:, TP, on date:, 6,12,2000, filled with average monthly concentration (mg/L):, 0.15015, to get load of (kg/d):, 1223.2902 
missing data:, TP, on date:, 6,13,2000, filled with average monthly concentration (mg/L):, 0.18381, to get load of (kg/d):, 2136.0919 
missing data:, TP, on date:, 7,9,2000, filled with average monthly concentration (mg/L):, 0.22619, to get load of (kg/d):, 2246.7169 
missing data:, TP, on date:, 10,6,2000, filled with average monthly concentration (mg/L):, 0.31467, to get load of (kg/d):, 6505.4081 
missing data:, TP, on date:, 10,7,2000, filled with average monthly concentration (mg/L):, 0.32646, to get load of (kg/d):, 7260.3357 
missing data:, TP, on date:, 10,8,2000, filled with average monthly concentration (mg/L):, 0.32439, to get load of (kg/d):, 6309.4459 
missing data:, TP, on date:, 10,27,2000, filled with average monthly concentration (mg/L):, 0.14686, to get load of (kg/d):, 257.2604 
missing data:, TP, on date:, 11,21,2000, filled with average monthly concentration (mg/L):, 0.11971, to get load of (kg/d):, 374.8977 
missing data:, TP, on date:, 11,22,2000, filled with average monthly concentration (mg/L):, 0.10453, to get load of (kg/d):, 248.0595 
missing data:, TP, on date:, 11,23,2000, filled with average monthly concentration (mg/L):, 0.095453, to get load of (kg/d):, 182.1546 
missing data:, TP, on date:, 11,24,2000, filled with average monthly concentration (mg/L):, 0.09896, to get load of (kg/d):, 190.5426 
missing data:, TP, on date:, 11,25,2000, filled with average monthly concentration (mg/L):, 0.099099, to get load of (kg/d):, 184.264 
missing data:, TP, on date:, 11,26,2000, filled with average monthly concentration (mg/L):, 0.1027, to get load of (kg/d):, 200.0098 
missing data:, TP, on date:, 12,18,2000, filled with average monthly concentration (mg/L):, 0.3154, to get load of (kg/d):, 13503.9846 
missing data:, TP, on date:, 2,9,2001, filled with average monthly concentration (mg/L):, 0.34946, to get load of (kg/d):, 10259.7571 
missing data:, TP, on date:, 2,10,2001, filled with average monthly concentration (mg/L):, 0.85002, to get load of (kg/d):, 82769.1044 
missing data:, TP, on date:, 2,11,2001, filled with average monthly concentration (mg/L):, 0.87019, to get load of (kg/d):, 87927.258 
missing data:, TP, on date:, 2,12,2001, filled with average monthly concentration (mg/L):, 0.72638, to get load of (kg/d):, 56157.4486 
missing data:, TP, on date:, 2,13,2001, filled with average monthly concentration (mg/L):, 0.60865, to get load of (kg/d):, 35440.453 
missing data:, TP, on date:, 2,14,2001, filled with average monthly concentration (mg/L):, 0.50329, to get load of (kg/d):, 22656.4477 
missing data:, TP, on date:, 2,15,2001, filled with average monthly concentration (mg/L):, 0.60182, to get load of (kg/d):, 34306.7479 
