missing data:, nitrate, on date:, 2,8,2000, filled with average monthly concentration (mg/L):, 6.235, to get load of (kg/d):, 3813.5934 
missing data:, nitrate, on date:, 2,9,2000, filled with average monthly concentration (mg/L):, 6.102, to get load of (kg/d):, 3732.2449 
missing data:, nitrate, on date:, 2,10,2000, filled with average monthly concentration (mg/L):, 6.052, to get load of (kg/d):, 7403.3254 
missing data:, nitrate, on date:, 2,11,2000, filled with average monthly concentration (mg/L):, 6.054, to get load of (kg/d):, 10368.0808 
missing data:, nitrate, on date:, 2,12,2000, filled with average monthly concentration (mg/L):, 6.22, to get load of (kg/d):, 13695.9074 
missing data:, nitrate, on date:, 2,13,2000, filled with average monthly concentration (mg/L):, 6.454, to get load of (kg/d):, 23685.2589 
missing data:, nitrate, on date:, 3,3,2000, filled with average monthly concentration (mg/L):, 10.4515, to get load of (kg/d):, 104838.4032 
missing data:, nitrate, on date:, 3,4,2000, filled with average monthly concentration (mg/L):, 10.3028, to get load of (kg/d):, 88475.2313 
missing data:, nitrate, on date:, 3,7,2000, filled with average monthly concentration (mg/L):, 9.7415, to get load of (kg/d):, 32651.5888 
missing data:, nitrate, on date:, 3,8,2000, filled with average monthly concentration (mg/L):, 9.4655, to get load of (kg/d):, 26400.1459 
missing data:, nitrate, on date:, 3,11,2000, filled with average monthly concentration (mg/L):, 8.8785, to get load of (kg/d):, 28455.6697 
missing data:, nitrate, on date:, 6,7,2000, filled with average monthly concentration (mg/L):, 10.5898, to get load of (kg/d):, 453403.7311 
missing data:, nitrate, on date:, 6,8,2000, filled with average monthly concentration (mg/L):, 10.6585, to get load of (kg/d):, 328567.4601 
missing data:, nitrate, on date:, 6,9,2000, filled with average monthly concentration (mg/L):, 10.7627, to get load of (kg/d):, 215656.0804 
missing data:, nitrate, on date:, 6,10,2000, filled with average monthly concentration (mg/L):, 10.6543, to get load of (kg/d):, 144148.2344 
missing data:, nitrate, on date:, 6,11,2000, filled with average monthly concentration (mg/L):, 10.6953, to get load of (kg/d):, 114349.344 
missing data:, nitrate, on date:, 6,12,2000, filled with average monthly concentration (mg/L):, 10.6473, to get load of (kg/d):, 86744.7101 
missing data:, nitrate, on date:, 6,13,2000, filled with average monthly concentration (mg/L):, 10.7033, to get load of (kg/d):, 124385.7349 
missing data:, nitrate, on date:, 7,9,2000, filled with average monthly concentration (mg/L):, 5.5165, to get load of (kg/d):, 54795.8379 
missing data:, nitrate, on date:, 10,6,2000, filled with average monthly concentration (mg/L):, 3.0755, to get load of (kg/d):, 63581.4395 
missing data:, nitrate, on date:, 10,7,2000, filled with average monthly concentration (mg/L):, 3.2685, to get load of (kg/d):, 72689.2668 
missing data:, nitrate, on date:, 10,8,2000, filled with average monthly concentration (mg/L):, 3.4715, to get load of (kg/d):, 67521.5206 
missing data:, nitrate, on date:, 10,27,2000, filled with average monthly concentration (mg/L):, 3.6405, to get load of (kg/d):, 6377.2284 
missing data:, nitrate, on date:, 11,14,2000, filled with average monthly concentration (mg/L):, 1.875, to get load of (kg/d):, 12706.8808 
missing data:, nitrate, on date:, 12,18,2000, filled with average monthly concentration (mg/L):, 7.404, to get load of (kg/d):, 317002.2718 
missing data:, nitrate, on date:, 2,9,2001, filled with average monthly concentration (mg/L):, 5.0455, to get load of (kg/d):, 148130.1192 
missing data:, nitrate, on date:, 2,10,2001, filled with average monthly concentration (mg/L):, 5.3945, to get load of (kg/d):, 525281.5966 
missing data:, nitrate, on date:, 2,11,2001, filled with average monthly concentration (mg/L):, 5.7175, to get load of (kg/d):, 577715.6611 
missing data:, nitrate, on date:, 2,12,2001, filled with average monthly concentration (mg/L):, 6.029, to get load of (kg/d):, 466111.9983 
missing data:, nitrate, on date:, 2,13,2001, filled with average monthly concentration (mg/L):, 6.33, to get load of (kg/d):, 368585.7858 
missing data:, nitrate, on date:, 2,14,2001, filled with average monthly concentration (mg/L):, 6.594, to get load of (kg/d):, 296841.5439 
missing data:, nitrate, on date:, 2,15,2001, filled with average monthly concentration (mg/L):, 6.858, to get load of (kg/d):, 390941.0884 
missing data:, nitrate, on date:, 2,16,2001, filled with average monthly concentration (mg/L):, 7.015, to get load of (kg/d):, 458244.069 
missing data:, nitrate, on date:, 2,17,2001, filled with average monthly concentration (mg/L):, 7.238, to get load of (kg/d):, 405519.7188 
missing data:, nitrate, on date:, 2,18,2001, filled with average monthly concentration (mg/L):, 7.3413, to get load of (kg/d):, 299950.3208 
missing data:, nitrate, on date:, 4,7,2001, filled with average monthly concentration (mg/L):, 5.6405, to get load of (kg/d):, 353277.0985 
missing data:, nitrate, on date:, 4,8,2001, filled with average monthly concentration (mg/L):, 5.8115, to get load of (kg/d):, 315645.1586 
missing data:, nitrate, on date:, 7,1,2001, filled with average monthly concentration (mg/L):, 4.066, to get load of (kg/d):, 11439.9238 
missing data:, nitrate, on date:, 7,2,2001, filled with average monthly concentration (mg/L):, 3.662, to get load of (kg/d):, 8699.5239 
missing data:, nitrate, on date:, 7,3,2001, filled with average monthly concentration (mg/L):, 3.272, to get load of (kg/d):, 7749.0162 
missing data:, nitrate, on date:, 7,4,2001, filled with average monthly concentration (mg/L):, 2.833, to get load of (kg/d):, 6605.3737 
missing data:, nitrate, on date:, 7,5,2001, filled with average monthly concentration (mg/L):, 2.3765, to get load of (kg/d):, 4849.1072 
missing data:, nitrate, on date:, 7,6,2001, filled with average monthly concentration (mg/L):, 1.9595, to get load of (kg/d):, 4031.8018 
missing data:, nitrate, on date:, 7,7,2001, filled with average monthly concentration (mg/L):, 1.6255, to get load of (kg/d):, 3491.72 
missing data:, nitrate, on date:, 7,8,2001, filled with average monthly concentration (mg/L):, 1.32, to get load of (kg/d):, 2935.5922 
missing data:, nitrate, on date:, 9,4,2001, filled with average monthly concentration (mg/L):, 0.45683, to get load of (kg/d):, 467.1883 
missing data:, nitrate, on date:, 9,5,2001, filled with average monthly concentration (mg/L):, 0.40633, to get load of (kg/d):, 334.0255 
missing data:, nitrate, on date:, 9,6,2001, filled with average monthly concentration (mg/L):, 0.39233, to get load of (kg/d):, 190.0546 
missing data:, nitrate, on date:, 9,7,2001, filled with average monthly concentration (mg/L):, 0.35933, to get load of (kg/d):, 203.9593 
missing data:, nitrate, on date:, 9,8,2001, filled with average monthly concentration (mg/L):, 0.32833, to get load of (kg/d):, 155.0352 
missing data:, nitrate, on date:, 9,10,2001, filled with average monthly concentration (mg/L):, 0.24783, to get load of (kg/d):, 329.85 
missing data:, nitrate, on date:, 9,11,2001, filled with average monthly concentration (mg/L):, 0.21583, to get load of (kg/d):, 377.0289 
missing data:, nitrate, on date:, 10,15,2001, filled with average monthly concentration (mg/L):, 4.528, to get load of (kg/d):, 257011.3595 
missing data:, nitrate, on date:, 10,16,2001, filled with average monthly concentration (mg/L):, 4.89, to get load of (kg/d):, 299093.3683 
missing data:, nitrate, on date:, 10,17,2001, filled with average monthly concentration (mg/L):, 5.0803, to get load of (kg/d):, 432543.0798 
missing data:, nitrate, on date:, 10,18,2001, filled with average monthly concentration (mg/L):, 5.3107, to get load of (kg/d):, 444358.063 
missing data:, nitrate, on date:, 10,19,2001, filled with average monthly concentration (mg/L):, 5.5677, to get load of (kg/d):, 360974.9095 
missing data:, nitrate, on date:, 10,20,2001, filled with average monthly concentration (mg/L):, 5.7923, to get load of (kg/d):, 260752.9829 
missing data:, nitrate, on date:, 11,23,2001, filled with average monthly concentration (mg/L):, 2.706, to get load of (kg/d):, 6216.5768 
missing data:, nitrate, on date:, 11,24,2001, filled with average monthly concentration (mg/L):, 2.937, to get load of (kg/d):, 6632.2909 
missing data:, nitrate, on date:, 11,25,2001, filled with average monthly concentration (mg/L):, 3.2033, to get load of (kg/d):, 10423.4549 
missing data:, nitrate, on date:, 3,27,2002, filled with average monthly concentration (mg/L):, 4.7923, to get load of (kg/d):, 26263.5212 
missing data:, nitrate, on date:, 3,28,2002, filled with average monthly concentration (mg/L):, 4.919, to get load of (kg/d):, 32734.344 
missing data:, nitrate, on date:, 3,29,2002, filled with average monthly concentration (mg/L):, 5.0523, to get load of (kg/d):, 41779.8246 
missing data:, nitrate, on date:, 3,30,2002, filled with average monthly concentration (mg/L):, 5.176, to get load of (kg/d):, 307721.9368 
missing data:, nitrate, on date:, 3,31,2002, filled with average monthly concentration (mg/L):, 5.286, to get load of (kg/d):, 622056.9563 
missing data:, nitrate, on date:, 4,1,2002, filled with average monthly concentration (mg/L):, 5.4673, to get load of (kg/d):, 634032.9239 
missing data:, nitrate, on date:, 5,17,2002, filled with average monthly concentration (mg/L):, 5.4557, to get load of (kg/d):, 308331.3777 
missing data:, nitrate, on date:, 5,18,2002, filled with average monthly concentration (mg/L):, 5.3797, to get load of (kg/d):, 250073.0458 
missing data:, nitrate, on date:, 5,19,2002, filled with average monthly concentration (mg/L):, 5.3157, to get load of (kg/d):, 201579.9595 
missing data:, nitrate, on date:, 5,26,2002, filled with average monthly concentration (mg/L):, 4.2965, to get load of (kg/d):, 35529.5275 
missing data:, nitrate, on date:, 5,31,2002, filled with average monthly concentration (mg/L):, 4.2625, to get load of (kg/d):, 55062.5386 
missing data:, nitrate, on date:, 6,1,2002, filled with average monthly concentration (mg/L):, 4.4155, to get load of (kg/d):, 53690.0976 
missing data:, nitrate, on date:, 6,2,2002, filled with average monthly concentration (mg/L):, 4.5675, to get load of (kg/d):, 29501.2487 
missing data:, nitrate, on date:, 8,28,2002, filled with average monthly concentration (mg/L):, 0.115, to get load of (kg/d):, 222.271 
missing data:, nitrate, on date:, 8,30,2002, filled with average monthly concentration (mg/L):, 0.115, to get load of (kg/d):, 112.8236 
missing data:, nitrate, on date:, 8,31,2002, filled with average monthly concentration (mg/L):, 0.117, to get load of (kg/d):, 73.8522 
missing data:, nitrate, on date:, 9,1,2002, filled with average monthly concentration (mg/L):, 0.117, to get load of (kg/d):, 54.6735 
missing data:, nitrate, on date:, 9,27,2002, filled with average monthly concentration (mg/L):, 0.001, to get load of (kg/d):, 0.91991 
missing data:, nitrate, on date:, 9,28,2002, filled with average monthly concentration (mg/L):, 0.001, to get load of (kg/d):, 1.1303 
missing data:, nitrate, on date:, 9,29,2002, filled with average monthly concentration (mg/L):, 0.001, to get load of (kg/d):, 1.0055 
missing data:, nitrate, on date:, 10,16,2002, filled with average monthly concentration (mg/L):, 0.0305, to get load of (kg/d):, 15.0733 
missing data:, nitrate, on date:, 10,29,2002, filled with average monthly concentration (mg/L):, 0.016, to get load of (kg/d):, 7.6724 
missing data:, nitrate, on date:, 10,30,2002, filled with average monthly concentration (mg/L):, 0.015, to get load of (kg/d):, 16.441 
missing data:, nitrate, on date:, 1,25,2003, filled with average monthly concentration (mg/L):, 12.976, to get load of (kg/d):, 20317.8957 
missing data:, nitrate, on date:, 4,11,2003, filled with average monthly concentration (mg/L):, 10.4407, to get load of (kg/d):, 372940.0307 
missing data:, nitrate, on date:, 5,16,2003, filled with average monthly concentration (mg/L):, 8.0862, to get load of (kg/d):, 397646.04 
missing data:, nitrate, on date:, 5,17,2003, filled with average monthly concentration (mg/L):, 7.7675, to get load of (kg/d):, 264152.0455 
missing data:, nitrate, on date:, 10,2,2003, filled with average monthly concentration (mg/L):, 2.975, to get load of (kg/d):, 54807.4835 
missing data:, nitrate, on date:, 10,10,2003, filled with average monthly concentration (mg/L):, 3.1605, to get load of (kg/d):, 10206.7539 
missing data:, nitrate, on date:, 10,11,2003, filled with average monthly concentration (mg/L):, 3.1585, to get load of (kg/d):, 8268.4209 
missing data:, nitrate, on date:, 10,12,2003, filled with average monthly concentration (mg/L):, 3.2995, to get load of (kg/d):, 9606.2306 
missing data:, nitrate, on date:, 10,13,2003, filled with average monthly concentration (mg/L):, 3.4395, to get load of (kg/d):, 9845.5298 
missing data:, nitrate, on date:, 12,10,2003, filled with average monthly concentration (mg/L):, 5.9517, to get load of (kg/d):, 87658.2925 
