missing data:, sediment, on date:, 3,3,2000, filled with average monthly concentration (mg/L):, 74.757, to get load of (kg/d):, 749.8834 
missing data:, sediment, on date:, 3,4,2000, filled with average monthly concentration (mg/L):, 74.4276, to get load of (kg/d):, 639.1448 
missing data:, sediment, on date:, 3,7,2000, filled with average monthly concentration (mg/L):, 53.4796, to get load of (kg/d):, 179.2529 
missing data:, sediment, on date:, 3,8,2000, filled with average monthly concentration (mg/L):, 50.8019, to get load of (kg/d):, 141.6912 
missing data:, sediment, on date:, 3,11,2000, filled with average monthly concentration (mg/L):, 51.9396, to get load of (kg/d):, 166.467 
missing data:, sediment, on date:, 6,7,2000, filled with average monthly concentration (mg/L):, 257.1386, to get load of (kg/d):, 11009.3898 
missing data:, sediment, on date:, 6,8,2000, filled with average monthly concentration (mg/L):, 169.6892, to get load of (kg/d):, 5230.9749 
missing data:, sediment, on date:, 6,9,2000, filled with average monthly concentration (mg/L):, 94.4169, to get load of (kg/d):, 1891.8716 
missing data:, sediment, on date:, 6,10,2000, filled with average monthly concentration (mg/L):, 50.9497, to get load of (kg/d):, 689.3261 
missing data:, sediment, on date:, 6,11,2000, filled with average monthly concentration (mg/L):, 25.3191, to get load of (kg/d):, 270.6995 
missing data:, sediment, on date:, 6,12,2000, filled with average monthly concentration (mg/L):, 5.2536, to get load of (kg/d):, 42.8019 
missing data:, sediment, on date:, 6,13,2000, filled with average monthly concentration (mg/L):, 33.6972, to get load of (kg/d):, 391.6021 
missing data:, sediment, on date:, 7,9,2000, filled with average monthly concentration (mg/L):, 61.869, to get load of (kg/d):, 614.5496 
missing data:, sediment, on date:, 10,6,2000, filled with average monthly concentration (mg/L):, 70.9825, to get load of (kg/d):, 1467.4586 
missing data:, sediment, on date:, 10,7,2000, filled with average monthly concentration (mg/L):, 69.4182, to get load of (kg/d):, 1543.8136 
missing data:, sediment, on date:, 10,8,2000, filled with average monthly concentration (mg/L):, 64.732, to get load of (kg/d):, 1259.0538 
missing data:, sediment, on date:, 10,27,2000, filled with average monthly concentration (mg/L):, 27.1812, to get load of (kg/d):, 47.6145 
missing data:, sediment, on date:, 12,18,2000, filled with average monthly concentration (mg/L):, 137.9148, to get load of (kg/d):, 5904.8213 
missing data:, sediment, on date:, 2,9,2001, filled with average monthly concentration (mg/L):, 91.7202, to get load of (kg/d):, 2692.8017 
missing data:, sediment, on date:, 2,10,2001, filled with average monthly concentration (mg/L):, 310.5171, to get load of (kg/d):, 30236.1507 
missing data:, sediment, on date:, 2,11,2001, filled with average monthly concentration (mg/L):, 327.3946, to get load of (kg/d):, 33081.0668 
missing data:, sediment, on date:, 2,12,2001, filled with average monthly concentration (mg/L):, 284.7014, to get load of (kg/d):, 22010.74 
missing data:, sediment, on date:, 2,13,2001, filled with average monthly concentration (mg/L):, 247.2759, to get load of (kg/d):, 14398.4811 
missing data:, sediment, on date:, 2,14,2001, filled with average monthly concentration (mg/L):, 193.6507, to get load of (kg/d):, 8717.5556 
missing data:, sediment, on date:, 2,15,2001, filled with average monthly concentration (mg/L):, 255.7083, to get load of (kg/d):, 14576.683 
missing data:, sediment, on date:, 2,16,2001, filled with average monthly concentration (mg/L):, 307.2761, to get load of (kg/d):, 20072.3378 
missing data:, sediment, on date:, 2,17,2001, filled with average monthly concentration (mg/L):, 280.3913, to get load of (kg/d):, 15709.3374 
missing data:, sediment, on date:, 2,18,2001, filled with average monthly concentration (mg/L):, 221.4858, to get load of (kg/d):, 9049.4084 
missing data:, sediment, on date:, 4,7,2001, filled with average monthly concentration (mg/L):, 309.8835, to get load of (kg/d):, 19408.6958 
missing data:, sediment, on date:, 4,8,2001, filled with average monthly concentration (mg/L):, 261.1261, to get load of (kg/d):, 14182.7742 
missing data:, sediment, on date:, 7,1,2001, filled with average monthly concentration (mg/L):, 42.288, to get load of (kg/d):, 118.9798 
missing data:, sediment, on date:, 7,2,2001, filled with average monthly concentration (mg/L):, 41.3022, to get load of (kg/d):, 98.1184 
missing data:, sediment, on date:, 7,3,2001, filled with average monthly concentration (mg/L):, 41.1902, to get load of (kg/d):, 97.55 
missing data:, sediment, on date:, 7,4,2001, filled with average monthly concentration (mg/L):, 40.3447, to get load of (kg/d):, 94.0671 
missing data:, sediment, on date:, 7,5,2001, filled with average monthly concentration (mg/L):, 39.9532, to get load of (kg/d):, 81.5221 
missing data:, sediment, on date:, 7,6,2001, filled with average monthly concentration (mg/L):, 39.3809, to get load of (kg/d):, 81.0289 
missing data:, sediment, on date:, 7,7,2001, filled with average monthly concentration (mg/L):, 39.5469, to get load of (kg/d):, 84.9504 
missing data:, sediment, on date:, 7,8,2001, filled with average monthly concentration (mg/L):, 38.6299, to get load of (kg/d):, 85.9103 
missing data:, sediment, on date:, 9,4,2001, filled with average monthly concentration (mg/L):, 35.4197, to get load of (kg/d):, 36.2226 
missing data:, sediment, on date:, 9,5,2001, filled with average monthly concentration (mg/L):, 35.3922, to get load of (kg/d):, 29.0941 
missing data:, sediment, on date:, 9,6,2001, filled with average monthly concentration (mg/L):, 35.3985, to get load of (kg/d):, 17.1478 
missing data:, sediment, on date:, 9,7,2001, filled with average monthly concentration (mg/L):, 34.9066, to get load of (kg/d):, 19.8132 
missing data:, sediment, on date:, 9,8,2001, filled with average monthly concentration (mg/L):, 33.9183, to get load of (kg/d):, 16.0158 
missing data:, sediment, on date:, 9,10,2001, filled with average monthly concentration (mg/L):, 34.9867, to get load of (kg/d):, 46.565 
missing data:, sediment, on date:, 9,11,2001, filled with average monthly concentration (mg/L):, 34.3146, to get load of (kg/d):, 59.9426 
missing data:, sediment, on date:, 10,15,2001, filled with average monthly concentration (mg/L):, 236.4355, to get load of (kg/d):, 13420.1874 
missing data:, sediment, on date:, 10,16,2001, filled with average monthly concentration (mg/L):, 254.8008, to get load of (kg/d):, 15584.707 
missing data:, sediment, on date:, 10,17,2001, filled with average monthly concentration (mg/L):, 353.915, to get load of (kg/d):, 30132.5632 
missing data:, sediment, on date:, 10,18,2001, filled with average monthly concentration (mg/L):, 351.1907, to get load of (kg/d):, 29385.0943 
missing data:, sediment, on date:, 10,19,2001, filled with average monthly concentration (mg/L):, 273.09, to get load of (kg/d):, 17705.5546 
missing data:, sediment, on date:, 10,20,2001, filled with average monthly concentration (mg/L):, 191.7421, to get load of (kg/d):, 8631.6362 
missing data:, sediment, on date:, 11,23,2001, filled with average monthly concentration (mg/L):, 22.1684, to get load of (kg/d):, 50.9282 
missing data:, sediment, on date:, 11,24,2001, filled with average monthly concentration (mg/L):, 21.781, to get load of (kg/d):, 49.1855 
missing data:, sediment, on date:, 11,25,2001, filled with average monthly concentration (mg/L):, 24.9867, to get load of (kg/d):, 81.3051 
missing data:, sediment, on date:, 3,27,2002, filled with average monthly concentration (mg/L):, 44.6913, to get load of (kg/d):, 244.9228 
missing data:, sediment, on date:, 3,28,2002, filled with average monthly concentration (mg/L):, 48.223, to get load of (kg/d):, 320.9082 
missing data:, sediment, on date:, 3,29,2002, filled with average monthly concentration (mg/L):, 49.7913, to get load of (kg/d):, 411.7449 
missing data:, sediment, on date:, 3,30,2002, filled with average monthly concentration (mg/L):, 188.3564, to get load of (kg/d):, 11198.1042 
missing data:, sediment, on date:, 3,31,2002, filled with average monthly concentration (mg/L):, 350.8354, to get load of (kg/d):, 41286.3463 
missing data:, sediment, on date:, 4,1,2002, filled with average monthly concentration (mg/L):, 361.4127, to get load of (kg/d):, 41912.1265 
missing data:, sediment, on date:, 5,17,2002, filled with average monthly concentration (mg/L):, 255.4338, to get load of (kg/d):, 14436.048 
missing data:, sediment, on date:, 5,18,2002, filled with average monthly concentration (mg/L):, 210.1974, to get load of (kg/d):, 9770.9947 
missing data:, sediment, on date:, 5,19,2002, filled with average monthly concentration (mg/L):, 169.5223, to get load of (kg/d):, 6428.5989 
missing data:, sediment, on date:, 5,26,2002, filled with average monthly concentration (mg/L):, 35.8166, to get load of (kg/d):, 296.1819 
missing data:, sediment, on date:, 5,31,2002, filled with average monthly concentration (mg/L):, 55.4889, to get load of (kg/d):, 716.8002 
missing data:, sediment, on date:, 6,1,2002, filled with average monthly concentration (mg/L):, 53.3591, to get load of (kg/d):, 648.8183 
missing data:, sediment, on date:, 6,2,2002, filled with average monthly concentration (mg/L):, 42.2548, to get load of (kg/d):, 272.9219 
missing data:, sediment, on date:, 8,28,2002, filled with average monthly concentration (mg/L):, 33.8582, to get load of (kg/d):, 65.4408 
missing data:, sediment, on date:, 8,30,2002, filled with average monthly concentration (mg/L):, 27.7989, to get load of (kg/d):, 27.2729 
missing data:, sediment, on date:, 8,31,2002, filled with average monthly concentration (mg/L):, 25.7016, to get load of (kg/d):, 16.2233 
missing data:, sediment, on date:, 9,1,2002, filled with average monthly concentration (mg/L):, 24.6456, to get load of (kg/d):, 11.5168 
missing data:, sediment, on date:, 9,27,2002, filled with average monthly concentration (mg/L):, 26.5959, to get load of (kg/d):, 24.4658 
missing data:, sediment, on date:, 9,28,2002, filled with average monthly concentration (mg/L):, 27.4466, to get load of (kg/d):, 31.0234 
missing data:, sediment, on date:, 9,29,2002, filled with average monthly concentration (mg/L):, 27.9181, to get load of (kg/d):, 28.0728 
missing data:, sediment, on date:, 10,16,2002, filled with average monthly concentration (mg/L):, 27.2023, to get load of (kg/d):, 13.4436 
missing data:, sediment, on date:, 10,22,2002, filled with average monthly concentration (mg/L):, 21.7089, to get load of (kg/d):, 11.5254 
missing data:, sediment, on date:, 10,23,2002, filled with average monthly concentration (mg/L):, 18.2345, to get load of (kg/d):, 14.722 
