year,month,day,nitrate(kg)
2000,1,1,4401.87
2000,1,2,4367.13
2000,1,3,6182.49
2000,1,4,7375.34
2000,1,5,11047.25
2000,1,6,11125.05
2000,1,7,33553.26
2000,1,8,22690.97
2000,1,9,21686.65
2000,1,10,23076.06
2000,1,11,25916.53
2000,1,12,11503.39
2000,1,13,8563.00
2000,1,14,7675.38
2000,1,15,7790.37
2000,1,16,7543.76
2000,1,17,7255.67
2000,1,18,7097.01
2000,1,19,6651.25
2000,1,20,6555.83
2000,1,21,6319.49
2000,1,22,5754.34
2000,1,23,5671.15
2000,1,24,6449.77
2000,1,25,7175.79
2000,1,26,7195.37
2000,1,27,7104.84
2000,1,28,6826.91
2000,1,29,6674.25
2000,1,30,6544.21
2000,1,31,5512.13
2000,2,1,4555.03
2000,2,2,4260.95
2000,2,3,4164.68
2000,2,4,3923.81
2000,2,5,3786.31
2000,2,6,3613.10
2000,2,7,3331.50
2000,2,8,3813.59
2000,2,9,3732.24
2000,2,10,7403.33
2000,2,11,10368.08
2000,2,12,13695.91
2000,2,13,23685.26
2000,2,14,48459.24
2000,2,15,35900.99
2000,2,16,30239.62
2000,2,17,26070.67
2000,2,18,24426.57
2000,2,19,38411.17
2000,2,20,72927.40
2000,2,21,91159.25
2000,2,22,89175.09
2000,2,23,239801.52
2000,2,24,408088.13
2000,2,25,444396.07
2000,2,26,387536.93
2000,2,27,296668.00
2000,2,28,306790.28
2000,2,29,253524.75
2000,3,1,165258.08
2000,3,2,124174.76
2000,3,3,104838.40
2000,3,4,88475.23
2000,3,5,63323.39
2000,3,6,37545.33
2000,3,7,32651.59
2000,3,8,26400.15
2000,3,9,37028.37
2000,3,10,27567.97
2000,3,11,28455.67
2000,3,12,32943.57
2000,3,13,27585.09
2000,3,14,23209.16
2000,3,15,23743.24
2000,3,16,22358.73
2000,3,17,35932.80
2000,3,18,40059.18
2000,3,19,45495.22
2000,3,20,60910.09
2000,3,21,310385.11
2000,3,22,313689.61
2000,3,23,260666.29
2000,3,24,202436.91
2000,3,25,165310.43
2000,3,26,121362.67
2000,3,27,92534.72
2000,3,28,107133.16
2000,3,29,127121.41
2000,3,30,131116.66
2000,3,31,94887.83
2000,4,1,71384.11
2000,4,2,55571.43
2000,4,3,54959.78
2000,4,4,58075.49
2000,4,5,46052.31
2000,4,6,47470.34
2000,4,7,24723.09
2000,4,8,40810.77
2000,4,9,211234.54
2000,4,10,280234.38
2000,4,11,241968.37
2000,4,12,167913.10
2000,4,13,137223.30
2000,4,14,107984.33
2000,4,15,85608.47
2000,4,16,71177.62
2000,4,17,55430.99
2000,4,18,56786.39
2000,4,19,77994.50
2000,4,20,137340.13
2000,4,21,577899.77
2000,4,22,517490.65
