year,month,day,DRP(kg)
2000,1,1,28.50
2000,1,2,29.73
2000,1,3,41.70
2000,1,4,41.10
2000,1,5,41.89
2000,1,6,129.06
2000,1,7,254.83
2000,1,8,196.76
2000,1,9,185.22
2000,1,10,175.10
2000,1,11,203.86
2000,1,12,92.31
2000,1,13,70.05
2000,1,14,67.05
2000,1,15,60.88
2000,1,16,51.79
2000,1,17,46.48
2000,1,18,43.28
2000,1,19,37.59
2000,1,20,37.78
2000,1,21,35.35
2000,1,22,29.65
2000,1,23,29.19
2000,1,24,27.29
2000,1,25,31.00
2000,1,26,30.94
2000,1,27,31.49
2000,1,28,37.58
2000,1,29,40.05
2000,1,30,41.34
2000,1,31,41.10
2000,2,1,42.00
2000,2,2,38.84
2000,2,3,39.43
2000,2,4,36.93
2000,2,5,35.79
2000,2,6,35.49
2000,2,7,27.45
2000,2,8,23.73
2000,2,9,17.86
2000,2,10,25.93
2000,2,11,32.88
2000,2,12,82.13
2000,2,13,155.60
2000,2,14,295.15
2000,2,15,254.35
2000,2,16,171.26
2000,2,17,124.19
2000,2,18,212.56
2000,2,19,314.14
2000,2,20,554.00
2000,2,21,590.11
2000,2,22,557.72
2000,2,23,1137.06
2000,2,24,1959.70
2000,2,25,2759.26
2000,2,26,1896.58
2000,2,27,1533.48
2000,2,28,1208.05
2000,2,29,901.42
2000,3,1,629.22
2000,3,2,477.60
2000,3,3,429.26
2000,3,4,328.30
2000,3,5,254.54
2000,3,6,120.76
2000,3,7,85.43
2000,3,8,61.83
2000,3,9,72.98
2000,3,10,64.30
2000,3,11,46.49
2000,3,12,70.49
2000,3,13,7.03
2000,3,14,3.01
2000,3,15,14.14
2000,3,16,5.76
2000,3,17,7.90
2000,3,18,4.65
2000,3,19,7.79
2000,3,20,18.20
2000,3,21,96.80
2000,3,22,283.66
2000,3,23,502.29
2000,3,24,278.63
2000,3,25,461.00
2000,3,26,215.71
2000,3,27,239.40
2000,3,28,265.16
2000,3,29,419.56
2000,3,30,448.25
2000,3,31,234.87
2000,4,1,241.78
2000,4,2,208.05
2000,4,3,179.48
2000,4,4,156.89
2000,4,5,81.46
2000,4,6,61.37
2000,4,7,36.99
2000,4,8,55.63
2000,4,9,400.41
2000,4,10,212.04
2000,4,11,262.52
2000,4,12,166.70
2000,4,13,255.79
2000,4,14,100.08
2000,4,15,54.21
2000,4,16,43.14
2000,4,17,29.49
2000,4,18,317.62
2000,4,19,583.74
2000,4,20,993.37
2000,4,21,6294.98
2000,4,22,5602.89
2000,4,23,3538.04
2000,4,24,1954.84
2000,4,25,1603.87
2000,4,26,1245.07
2000,4,27,925.20
2000,4,28,752.31
2000,4,29,431.13
2000,4,30,359.72
2000,5,1,271.83
2000,5,2,9.66
2000,5,3,511.28
2000,5,4,351.23
2000,5,5,220.27
2000,5,6,66.78
2000,5,7,42.98
2000,5,8,33.35
2000,5,9,19.24
2000,5,10,453.23
2000,5,11,924.83
2000,5,12,801.07
2000,5,13,491.90
2000,5,14,480.30
2000,5,15,399.75
2000,5,16,376.26
2000,5,17,321.92
2000,5,18,306.24
2000,5,19,924.96
2000,5,20,2064.97
2000,5,21,1980.45
2000,5,22,1695.61
2000,5,23,1401.47
2000,5,24,2992.48
2000,5,25,2512.38
2000,5,26,1573.83
2000,5,27,1322.91
2000,5,28,2204.17
2000,5,29,4565.99
2000,5,30,3686.00
2000,5,31,2640.10
2000,6,1,1915.37
2000,6,2,1502.90
2000,6,3,1167.23
2000,6,4,881.93
2000,6,5,703.45
2000,6,6,1924.23
2000,6,7,3301.68
2000,6,8,2355.84
2000,6,9,1539.14
2000,6,10,1052.06
2000,6,11,844.52
2000,6,12,653.80
2000,6,13,946.20
2000,6,14,976.69
2000,6,15,3995.50
2000,6,16,4783.93
2000,6,17,4862.48
2000,6,18,4367.65
2000,6,19,4704.85
2000,6,20,4320.16
2000,6,21,4346.21
2000,6,22,4462.69
2000,6,23,3392.64
2000,6,24,2502.26
2000,6,25,2668.80
2000,6,26,4963.77
2000,6,27,5603.60
2000,6,28,5191.50
2000,6,29,2528.53
2000,6,30,2182.61
2000,7,1,1454.52
2000,7,2,1157.74
2000,7,3,1123.58
2000,7,4,1245.20
2000,7,5,2219.53
2000,7,6,1712.85
2000,7,7,1448.53
2000,7,8,1358.14
2000,7,9,937.04
2000,7,10,830.11
2000,7,11,616.17
2000,7,12,481.34
2000,7,13,379.46
2000,7,14,254.48
2000,7,15,188.98
2000,7,16,143.12
2000,7,17,80.46
2000,7,18,66.19
2000,7,19,73.91
2000,7,20,107.76
2000,7,21,80.93
2000,7,22,21.22
2000,7,23,14.87
2000,7,24,26.17
2000,7,25,35.43
2000,7,26,33.40
2000,7,27,34.51
2000,7,28,27.91
2000,7,29,31.37
2000,7,30,68.58
2000,7,31,108.17
2000,8,1,72.05
2000,8,2,104.69
2000,8,3,59.39
2000,8,4,89.11
2000,8,5,29.87
2000,8,6,146.55
2000,8,7,34.92
2000,8,8,502.04
2000,8,9,600.40
2000,8,10,483.13
2000,8,11,280.23
2000,8,12,135.40
2000,8,13,105.60
2000,8,14,68.76
2000,8,15,58.32
2000,8,16,2.32
2000,8,17,1.13
2000,8,18,11.19
2000,8,19,2.09
2000,8,20,0.96
2000,8,21,7.25
2000,8,22,9.48
2000,8,23,9.31
2000,8,24,6.67
2000,8,25,9.11
2000,8,26,10.09
2000,8,27,10.37
2000,8,28,57.40
2000,8,29,115.89
2000,8,30,118.40
2000,8,31,69.82
2000,9,1,24.26
2000,9,2,41.10
2000,9,3,38.80
2000,9,4,33.86
2000,9,5,45.00
2000,9,6,32.23
2000,9,7,14.85
2000,9,8,8.81
2000,9,9,12.70
2000,9,10,23.52
2000,9,11,304.41
2000,9,12,407.68
2000,9,13,773.34
2000,9,14,872.69
2000,9,15,868.83
2000,9,16,1028.78
2000,9,17,650.79
2000,9,18,410.01
2000,9,19,406.45
2000,9,20,292.90
2000,9,21,243.66
2000,9,22,179.25
2000,9,23,235.72
2000,9,24,749.21
2000,9,25,1124.34
2000,9,26,853.54
2000,9,27,694.83
2000,9,28,485.16
2000,9,29,372.51
2000,9,30,277.87
2000,10,1,271.57
2000,10,2,164.20
2000,10,3,104.17
2000,10,4,71.68
2000,10,5,83.37
2000,10,6,1899.59
2000,10,7,2125.52
2000,10,8,1921.98
2000,10,9,2223.02
2000,10,10,1364.18
2000,10,11,878.75
2000,10,12,539.17
2000,10,13,411.26
2000,10,14,403.27
2000,10,15,284.76
2000,10,16,231.67
2000,10,17,214.29
2000,10,18,285.34
2000,10,19,228.31
2000,10,20,170.93
2000,10,21,130.50
2000,10,22,109.07
2000,10,23,117.55
2000,10,24,129.69
2000,10,25,122.57
2000,10,26,90.23
2000,10,27,62.91
2000,10,28,31.52
2000,10,29,17.96
2000,10,30,10.81
2000,10,31,9.58
2000,11,1,8.99
2000,11,2,15.88
2000,11,3,13.04
2000,11,4,8.66
2000,11,5,4.16
2000,11,6,4.77
2000,11,7,4.30
2000,11,8,1.95
2000,11,9,1.47
2000,11,10,1.75
2000,11,11,0.21
2000,11,12,2.23
2000,11,13,37.04
2000,11,14,52.18
2000,11,15,62.74
2000,11,16,54.47
2000,11,17,90.43
2000,11,18,107.31
2000,11,19,156.38
2000,11,20,163.66
2000,11,21,152.82
2000,11,22,154.02
2000,11,23,117.17
2000,11,24,131.89
2000,11,25,121.42
2000,11,26,123.47
2000,11,27,132.94
2000,11,28,136.64
2000,11,29,220.70
2000,11,30,218.67
2000,12,1,186.17
2000,12,2,165.61
2000,12,3,157.40
2000,12,4,119.31
2000,12,5,116.53
2000,12,6,72.83
2000,12,7,69.35
2000,12,8,84.62
2000,12,9,75.01
2000,12,10,86.64
2000,12,11,136.32
2000,12,12,641.27
2000,12,13,849.45
2000,12,14,839.94
2000,12,15,873.61
2000,12,16,917.11
2000,12,17,2337.87
2000,12,18,3401.65
2000,12,19,2955.95
2000,12,20,2265.53
2000,12,21,1805.28
2000,12,22,1300.21
2000,12,23,994.78
2000,12,24,767.00
2000,12,25,611.03
2000,12,26,527.65
2000,12,27,479.26
2000,12,28,421.32
2000,12,29,382.06
2000,12,30,328.45
2000,12,31,317.17
2001,1,1,297.26
2001,1,2,289.75
2001,1,3,264.82
2001,1,4,254.91
2001,1,5,247.86
2001,1,6,229.15
2001,1,7,213.15
2001,1,8,199.88
2001,1,9,193.12
2001,1,10,181.07
2001,1,11,173.65
2001,1,12,158.74
2001,1,13,147.67
2001,1,14,152.03
2001,1,15,142.57
2001,1,16,157.17
2001,1,17,181.00
2001,1,18,223.91
2001,1,19,274.70
2001,1,20,319.84
2001,1,21,377.75
2001,1,22,312.35
2001,1,23,272.30
2001,1,24,238.54
2001,1,25,209.04
2001,1,26,190.00
2001,1,27,168.57
2001,1,28,142.03
2001,1,29,153.44
2001,1,30,350.62
2001,1,31,1771.44
2001,2,1,5925.35
2001,2,2,6091.11
2001,2,3,4271.71
2001,2,4,3236.81
2001,2,5,2467.00
2001,2,6,2077.14
2001,2,7,1714.95
2001,2,8,1503.42
2001,2,9,3998.53
2001,2,10,13263.74
2001,2,11,12984.58
2001,2,12,9531.75
2001,2,13,6796.71
2001,2,14,4967.84
2001,2,15,5860.41
2001,2,16,6295.88
2001,2,17,5077.68
2001,2,18,3551.76
2001,2,19,2336.11
2001,2,20,1771.40
2001,2,21,1395.05
2001,2,22,1110.98
2001,2,23,968.63
2001,2,24,678.73
2001,2,25,1331.51
2001,2,26,2836.07
2001,2,27,3565.19
2001,2,28,2655.22
2001,3,1,2114.54
2001,3,2,1968.38
2001,3,3,1673.45
2001,3,4,1539.80
2001,3,5,1175.65
2001,3,6,777.52
2001,3,7,544.23
2001,3,8,435.45
2001,3,9,352.20
2001,3,10,277.09
2001,3,11,270.06
2001,3,12,216.28
2001,3,13,239.15
2001,3,14,166.40
2001,3,15,86.55
2001,3,16,58.01
2001,3,17,34.35
2001,3,18,28.96
2001,3,19,45.47
2001,3,20,62.20
2001,3,21,94.62
2001,3,22,116.46
2001,3,23,153.25
2001,3,24,120.67
2001,3,25,45.38
2001,3,26,22.68
2001,3,27,37.08
2001,3,28,30.66
2001,3,29,30.24
2001,3,30,32.49
2001,3,31,32.32
2001,4,1,46.58
2001,4,2,18.30
2001,4,3,12.67
2001,4,4,5.77
2001,4,5,17.76
2001,4,6,232.09
2001,4,7,1451.50
2001,4,8,1258.72
2001,4,9,1389.85
2001,4,10,959.01
2001,4,11,878.94
2001,4,12,950.49
2001,4,13,1126.11
2001,4,14,1225.61
2001,4,15,996.94
2001,4,16,1140.95
2001,4,17,1729.13
2001,4,18,1636.56
2001,4,19,1141.30
2001,4,20,799.49
2001,4,21,984.21
2001,4,22,1438.58
2001,4,23,1555.24
2001,4,24,1492.41
2001,4,25,1041.32
2001,4,26,909.56
2001,4,27,636.90
2001,4,28,403.07
2001,4,29,213.57
2001,4,30,167.92
2001,5,1,85.12
2001,5,2,25.57
2001,5,3,3.25
2001,5,4,1.34
2001,5,5,1.01
2001,5,6,3.60
2001,5,7,3.47
2001,5,8,6.25
2001,5,9,4.95
2001,5,10,1.81
2001,5,11,1.13
2001,5,12,3.57
2001,5,13,84.95
2001,5,14,31.25
2001,5,15,322.60
2001,5,16,3214.04
2001,5,17,3573.63
2001,5,18,1883.45
2001,5,19,3448.93
2001,5,20,3461.00
2001,5,21,2049.00
2001,5,22,2312.74
2001,5,23,1816.43
2001,5,24,1647.04
2001,5,25,1847.55
2001,5,26,2745.05
2001,5,27,3691.73
2001,5,28,4504.37
2001,5,29,4436.99
2001,5,30,3691.06
2001,5,31,2398.38
2001,6,1,1798.81
2001,6,2,49.38
2001,6,3,1928.22
2001,6,4,1607.35
2001,6,5,1250.94
2001,6,6,2158.37
2001,6,7,3213.36
2001,6,8,2672.15
2001,6,9,1952.61
2001,6,10,1665.75
2001,6,11,1155.90
2001,6,12,728.47
2001,6,13,627.99
2001,6,14,415.04
2001,6,15,157.84
2001,6,16,133.19
2001,6,17,46.59
2001,6,18,30.28
2001,6,19,17.46
2001,6,20,31.93
2001,6,21,45.86
2001,6,22,46.97
2001,6,23,32.21
2001,6,24,33.64
2001,6,25,55.97
2001,6,26,93.71
2001,6,27,54.90
2001,6,28,36.82
2001,6,29,23.29
2001,6,30,25.88
2001,7,1,22.16
2001,7,2,17.76
2001,7,3,16.71
2001,7,4,15.61
2001,7,5,14.09
2001,7,6,12.79
2001,7,7,12.53
2001,7,8,12.01
2001,7,9,5.91
2001,7,10,7.12
2001,7,11,2.93
2001,7,12,3.26
2001,7,13,16.07
2001,7,14,10.97
2001,7,15,8.58
2001,7,16,5.87
2001,7,17,7.63
2001,7,18,4.60
2001,7,19,4.01
2001,7,20,4.63
2001,7,21,8.41
2001,7,22,8.70
2001,7,23,8.92
2001,7,24,20.07
2001,7,25,116.70
2001,7,26,551.68
2001,7,27,255.74
2001,7,28,143.81
2001,7,29,133.20
2001,7,30,63.15
2001,7,31,74.59
2001,8,1,65.02
2001,8,2,56.10
2001,8,3,40.61
2001,8,4,13.93
2001,8,5,12.35
2001,8,6,5.79
2001,8,7,15.08
2001,8,8,15.37
2001,8,9,21.15
2001,8,10,33.92
2001,8,11,15.69
2001,8,12,10.28
2001,8,13,24.61
2001,8,14,28.73
2001,8,15,20.56
2001,8,16,28.53
2001,8,17,55.57
2001,8,18,24.27
2001,8,19,20.55
2001,8,20,24.21
2001,8,21,9.50
2001,8,22,36.12
2001,8,23,142.17
2001,8,24,449.98
2001,8,25,500.56
2001,8,26,234.38
2001,8,27,120.84
2001,8,28,62.14
2001,8,29,43.16
2001,8,30,12.97
2001,8,31,7.52
2001,9,1,4.80
2001,9,2,3.28
2001,9,3,7.29
2001,9,4,13.66
2001,9,5,8.47
2001,9,6,4.43
2001,9,7,4.46
2001,9,8,3.56
2001,9,9,3.85
2001,9,10,10.97
2001,9,11,16.71
2001,9,12,24.53
2001,9,13,20.98
2001,9,14,24.37
2001,9,15,10.44
2001,9,16,4.94
2001,9,17,6.39
2001,9,18,13.30
2001,9,19,24.90
2001,9,20,26.40
2001,9,21,68.53
2001,9,22,236.64
2001,9,23,49.15
2001,9,24,64.90
2001,9,25,63.60
2001,9,26,78.68
2001,9,27,37.42
2001,9,28,27.23
2001,9,29,19.96
2001,9,30,7.04
2001,10,1,15.40
2001,10,2,15.53
2001,10,3,17.69
2001,10,4,9.23
2001,10,5,12.52
2001,10,6,86.28
2001,10,7,212.52
2001,10,8,762.35
2001,10,9,804.81
2001,10,10,492.52
2001,10,11,727.60
2001,10,12,3254.58
2001,10,13,11819.72
2001,10,14,11678.26
2001,10,15,7140.28
2001,10,16,8027.00
2001,10,17,11222.96
2001,10,18,10982.05
2001,10,19,8658.38
2001,10,20,5881.46
2001,10,21,3842.83
2001,10,22,3538.72
2001,10,23,4535.94
2001,10,24,4940.61
2001,10,25,6258.64
2001,10,26,7293.28
2001,10,27,5660.43
2001,10,28,4197.36
2001,10,29,2958.44
2001,10,30,2257.46
2001,10,31,1422.52
2001,11,1,1253.07
2001,11,2,828.60
2001,11,3,835.46
2001,11,4,814.12
2001,11,5,678.81
2001,11,6,431.59
2001,11,7,334.40
2001,11,8,312.97
2001,11,9,198.52
2001,11,10,230.83
2001,11,11,219.57
2001,11,12,165.78
2001,11,13,205.96
2001,11,14,179.98
2001,11,15,147.70
2001,11,16,116.58
2001,11,17,116.75
2001,11,18,86.32
2001,11,19,22.93
2001,11,20,42.39
2001,11,21,48.91
2001,11,22,36.80
2001,11,23,33.40
2001,11,24,27.55
2001,11,25,36.73
2001,11,26,10.57
2001,11,27,13.10
2001,11,28,7.63
2001,11,29,22.83
2001,11,30,359.96
2001,12,1,1368.04
2001,12,2,2500.93
2001,12,3,3587.04
2001,12,4,3047.66
2001,12,5,2262.12
2001,12,6,1540.12
2001,12,7,1307.67
2001,12,8,898.66
2001,12,9,711.64
2001,12,10,488.82
2001,12,11,343.05
2001,12,12,337.70
2001,12,13,274.59
2001,12,14,264.23
2001,12,15,1449.89
2001,12,16,1844.62
2001,12,17,4004.06
2001,12,18,8482.21
2001,12,19,8036.40
2001,12,20,7805.30
2001,12,21,5583.47
2001,12,22,3954.05
2001,12,23,2807.93
2001,12,24,1990.48
2001,12,25,1601.66
2001,12,26,1080.90
2001,12,27,872.84
2001,12,28,578.86
2001,12,29,499.69
2001,12,30,394.07
2001,12,31,366.07
2002,1,1,332.64
2002,1,2,241.18
2002,1,3,218.88
2002,1,4,205.51
2002,1,5,192.23
2002,1,6,177.47
2002,1,7,159.09
2002,1,8,136.92
2002,1,9,84.37
2002,1,10,104.81
2002,1,11,118.08
2002,1,12,134.23
2002,1,13,133.74
2002,1,14,171.95
2002,1,15,172.69
2002,1,16,162.70
2002,1,17,144.40
2002,1,18,145.23
2002,1,19,176.33
2002,1,20,121.81
2002,1,21,111.97
2002,1,22,103.83
2002,1,23,73.10
2002,1,24,64.69
2002,1,25,68.09
