year,month,day,TN(kg)
2000,1,1,5569.00
2000,1,2,5555.19
2000,1,3,7862.12
2000,1,4,10274.82
2000,1,5,14102.52
2000,1,6,13962.76
2000,1,7,39816.36
2000,1,8,27406.98
2000,1,9,25347.85
2000,1,10,26010.77
2000,1,11,29708.74
2000,1,12,13519.50
2000,1,13,10255.91
2000,1,14,9165.41
2000,1,15,9205.41
2000,1,16,8677.30
2000,1,17,8428.25
2000,1,18,8379.87
2000,1,19,7860.74
2000,1,20,7704.66
2000,1,21,7395.04
2000,1,22,6824.37
2000,1,23,6573.61
2000,1,24,7441.32
2000,1,25,8162.00
2000,1,26,8158.55
2000,1,27,8117.20
2000,1,28,7792.23
2000,1,29,7623.58
2000,1,30,7348.10
2000,1,31,6453.59
2000,2,1,5273.97
2000,2,2,4904.68
2000,2,3,4855.78
2000,2,4,4635.25
2000,2,5,4466.68
2000,2,6,4307.03
2000,2,7,3936.28
2000,2,8,4475.50
2000,2,9,4377.88
2000,2,10,8689.13
2000,2,11,12216.97
2000,2,12,16128.47
2000,2,13,27762.95
2000,2,14,57157.07
2000,2,15,42351.35
2000,2,16,35213.99
2000,2,17,30336.66
2000,2,18,29219.50
2000,2,19,44669.01
2000,2,20,82975.18
2000,2,21,104369.09
2000,2,22,100981.51
2000,2,23,281060.31
2000,2,24,481303.01
2000,2,25,533333.84
2000,2,26,466684.89
2000,2,27,355804.83
2000,2,28,355101.95
2000,2,29,287144.75
2000,3,1,184633.16
2000,3,2,135001.43
2000,3,3,119776.20
2000,3,4,100387.29
2000,3,5,67552.02
2000,3,6,41238.26
2000,3,7,36523.88
2000,3,8,29646.91
2000,3,9,42674.81
2000,3,10,30963.32
2000,3,11,32400.38
2000,3,12,37028.79
2000,3,13,32032.04
2000,3,14,26289.10
2000,3,15,28258.37
2000,3,16,26823.50
2000,3,17,42149.68
2000,3,18,46464.52
2000,3,19,53114.92
2000,3,20,70637.96
2000,3,21,352797.85
2000,3,22,364832.55
2000,3,23,300522.05
2000,3,24,228987.62
2000,3,25,185597.38
2000,3,26,135814.15
2000,3,27,101722.45
2000,3,28,118898.39
2000,3,29,140515.33
2000,3,30,148190.25
2000,3,31,106512.06
2000,4,1,83594.69
2000,4,2,64630.92
2000,4,3,60536.20
2000,4,4,65121.62
2000,4,5,51417.94
2000,4,6,54601.75
2000,4,7,30085.11
2000,4,8,49280.57
2000,4,9,242308.90
2000,4,10,326690.70
2000,4,11,295093.69
2000,4,12,199185.69
2000,4,13,166250.85
2000,4,14,130155.71
2000,4,15,103371.30
2000,4,16,84464.10
2000,4,17,63643.02
2000,4,18,66807.20
2000,4,19,92176.29
2000,4,20,185285.23
2000,4,21,909893.70
2000,4,22,776493.33
2000,4,23,551706.53
2000,4,24,381043.21
2000,4,25,292981.88
2000,4,26,216059.65
2000,4,27,159927.07
2000,4,28,126593.89
2000,4,29,91030.71
2000,4,30,75815.62
2000,5,1,68141.51
2000,5,2,98525.01
2000,5,3,119792.77
2000,5,4,104869.09
2000,5,5,78754.53
2000,5,6,55182.29
2000,5,7,46092.15
2000,5,8,44685.46
2000,5,9,39418.27
2000,5,10,137244.41
2000,5,11,209358.17
2000,5,12,173878.62
2000,5,13,105791.14
2000,5,14,75013.57
2000,5,15,50172.87
2000,5,16,42906.15
2000,5,17,41315.68
2000,5,18,42998.21
2000,5,19,148985.59
2000,5,20,409372.03
2000,5,21,283385.37
2000,5,22,221559.48
2000,5,23,188464.38
2000,5,24,406953.74
2000,5,25,358540.36
2000,5,26,235527.72
2000,5,27,192709.78
2000,5,28,298138.06
2000,5,29,766334.56
2000,5,30,551652.31
2000,5,31,345802.43
2000,6,1,278055.00
2000,6,2,224942.18
2000,6,3,166474.99
2000,6,4,126880.23
2000,6,5,99394.78
2000,6,6,282048.84
2000,6,7,513775.88
2000,6,8,374841.06
2000,6,9,247524.40
2000,6,10,166418.58
2000,6,11,132647.32
2000,6,12,101041.61
2000,6,13,145679.62
2000,6,14,245957.48
2000,6,15,746977.41
2000,6,16,886126.87
2000,6,17,717618.70
2000,6,18,545197.94
2000,6,19,665783.92
2000,6,20,534990.33
2000,6,21,608650.97
2000,6,22,627655.81
2000,6,23,410098.48
2000,6,24,273224.10
2000,6,25,330255.55
2000,6,26,688791.11
2000,6,27,490195.55
2000,6,28,317580.40
2000,6,29,218019.08
2000,6,30,158836.73
2000,7,1,118084.25
2000,7,2,99016.26
2000,7,3,85020.26
2000,7,4,94462.96
2000,7,5,172101.24
2000,7,6,165193.77
2000,7,7,109214.20
2000,7,8,84580.73
2000,7,9,66034.03
2000,7,10,51830.84
2000,7,11,40294.08
2000,7,12,29492.88
2000,7,13,25313.43
2000,7,14,18764.99
2000,7,15,17645.83
2000,7,16,15823.55
2000,7,17,12930.74
2000,7,18,9970.35
2000,7,19,11154.50
2000,7,20,13024.24
2000,7,21,10331.62
2000,7,22,6867.84
2000,7,23,6022.51
2000,7,24,5888.74
2000,7,25,5251.31
2000,7,26,4824.41
2000,7,27,4720.88
2000,7,28,4013.98
2000,7,29,4540.82
2000,7,30,7726.94
2000,7,31,16913.84
2000,8,1,12244.63
2000,8,2,14894.92
2000,8,3,12202.51
2000,8,4,16472.93
2000,8,5,13683.16
2000,8,6,11077.21
2000,8,7,21114.60
2000,8,8,26689.32
2000,8,9,28444.99
2000,8,10,23104.09
2000,8,11,15563.47
2000,8,12,9040.20
2000,8,13,8663.07
2000,8,14,5972.58
2000,8,15,5295.58
2000,8,16,4006.03
2000,8,17,2734.56
2000,8,18,2784.87
2000,8,19,2302.49
2000,8,20,1876.97
2000,8,21,3608.73
2000,8,22,3256.80
2000,8,23,4127.67
2000,8,24,2674.75
2000,8,25,4492.65
2000,8,26,4342.12
2000,8,27,4631.59
2000,8,28,8660.30
2000,8,29,13527.30
2000,8,30,15544.89
2000,8,31,10289.14
2000,9,1,8382.26
2000,9,2,6219.15
2000,9,3,5102.84
2000,9,4,3469.18
2000,9,5,3783.37
2000,9,6,3438.84
2000,9,7,3620.86
2000,9,8,3393.33
2000,9,9,3068.30
2000,9,10,4595.95
2000,9,11,14626.44
2000,9,12,12382.62
2000,9,13,26823.07
2000,9,14,34718.70
2000,9,15,32326.11
2000,9,16,28512.10
2000,9,17,22244.62
2000,9,18,13154.94
2000,9,19,12391.45
2000,9,20,10697.05
2000,9,21,9021.73
2000,9,22,6822.39
2000,9,23,9225.21
2000,9,24,28876.79
2000,9,25,44890.55
2000,9,26,42606.13
2000,9,27,32582.14
2000,9,28,17794.15
2000,9,29,12713.65
2000,9,30,12073.59
2000,10,1,11049.94
2000,10,2,7984.65
2000,10,3,5443.77
2000,10,4,5965.25
2000,10,5,10157.28
2000,10,6,88929.67
2000,10,7,100067.22
2000,10,8,91811.37
2000,10,9,85091.73
2000,10,10,57465.99
2000,10,11,38352.12
2000,10,12,23300.72
