year,month,day,TP(kg)
2000,1,1,107.12
2000,1,2,112.66
2000,1,3,162.78
2000,1,4,245.92
2000,1,5,318.33
2000,1,6,286.62
2000,1,7,663.63
2000,1,8,449.57
2000,1,9,400.65
2000,1,10,584.83
2000,1,11,246.25
2000,1,12,111.82
2000,1,13,91.28
2000,1,14,88.43
2000,1,15,89.97
2000,1,16,83.50
2000,1,17,107.74
2000,1,18,133.67
2000,1,19,119.41
2000,1,20,118.31
2000,1,21,112.52
2000,1,22,105.99
2000,1,23,98.92
2000,1,24,88.08
2000,1,25,79.21
2000,1,26,74.95
2000,1,27,73.79
2000,1,28,76.96
2000,1,29,81.99
2000,1,30,81.63
2000,1,31,80.59
2000,2,1,80.03
2000,2,2,74.94
2000,2,3,73.27
2000,2,4,72.80
2000,2,5,69.57
2000,2,6,67.68
2000,2,7,68.38
2000,2,8,71.81
2000,2,9,73.15
2000,2,10,148.51
2000,2,11,198.83
2000,2,12,279.86
2000,2,13,452.13
2000,2,14,881.56
2000,2,15,620.11
2000,2,16,471.70
2000,2,17,475.17
2000,2,18,511.63
2000,2,19,697.76
2000,2,20,1221.62
2000,2,21,1487.39
2000,2,22,1303.02
2000,2,23,7852.26
2000,2,24,14018.85
2000,2,25,18341.04
2000,2,26,16610.07
2000,2,27,11262.22
2000,2,28,10681.37
2000,2,29,7809.67
2000,3,1,4659.36
2000,3,2,3057.79
2000,3,3,2076.69
2000,3,4,1702.90
2000,3,5,1253.37
2000,3,6,683.65
2000,3,7,500.06
2000,3,8,392.71
2000,3,9,814.32
2000,3,10,391.94
2000,3,11,468.57
2000,3,12,418.99
2000,3,13,593.29
2000,3,14,332.11
2000,3,15,462.23
2000,3,16,450.51
2000,3,17,534.58
2000,3,18,523.45
2000,3,19,646.16
2000,3,20,1037.77
2000,3,21,7283.50
2000,3,22,9463.78
2000,3,23,7054.65
2000,3,24,4237.93
2000,3,25,3255.30
2000,3,26,2180.13
2000,3,27,1397.94
2000,3,28,1552.12
2000,3,29,1943.87
2000,3,30,2336.85
2000,3,31,1707.04
2000,4,1,1893.54
2000,4,2,1551.26
2000,4,3,902.83
2000,4,4,689.20
2000,4,5,506.94
2000,4,6,706.08
2000,4,7,612.22
2000,4,8,938.25
2000,4,9,4341.14
2000,4,10,6816.76
2000,4,11,11087.27
2000,4,12,7627.88
2000,4,13,6147.97
2000,4,14,3946.25
2000,4,15,3661.72
2000,4,16,2769.01
2000,4,17,1943.39
2000,4,18,1990.27
2000,4,19,2603.05
2000,4,20,12356.05
2000,4,21,89136.58
2000,4,22,72910.24
2000,4,23,40798.10
2000,4,24,17156.01
2000,4,25,8025.98
2000,4,26,4395.40
2000,4,27,2998.35
2000,4,28,2269.95
2000,4,29,1511.33
2000,4,30,1176.74
2000,5,1,930.50
2000,5,2,1482.45
2000,5,3,1778.79
2000,5,4,1301.76
2000,5,5,936.96
2000,5,6,879.80
2000,5,7,581.44
2000,5,8,501.36
2000,5,9,420.35
2000,5,10,4155.86
2000,5,11,5363.87
2000,5,12,3554.20
2000,5,13,1708.56
2000,5,14,1522.07
2000,5,15,1059.95
2000,5,16,953.87
2000,5,17,806.90
2000,5,18,812.58
2000,5,19,3417.77
2000,5,20,9936.54
2000,5,21,10484.46
2000,5,22,6802.17
2000,5,23,4264.32
2000,5,24,12805.68
2000,5,25,10021.79
2000,5,26,5464.27
2000,5,27,3799.62
2000,5,28,8854.96
2000,5,29,25205.26
2000,5,30,21595.74
2000,5,31,11931.29
2000,6,1,6120.07
2000,6,2,4220.45
2000,6,3,2958.36
2000,6,4,2120.41
2000,6,5,1674.69
2000,6,6,5102.57
2000,6,7,19178.74
2000,6,8,10570.75
2000,6,9,5044.69
2000,6,10,2722.79
2000,6,11,1866.22
2000,6,12,1223.29
2000,6,13,2136.09
2000,6,14,5022.23
2000,6,15,28894.21
2000,6,16,50584.33
2000,6,17,34434.68
2000,6,18,21110.84
2000,6,19,21727.83
2000,6,20,19363.63
2000,6,21,21024.98
2000,6,22,25402.26
2000,6,23,17588.30
2000,6,24,9290.32
2000,6,25,11164.52
2000,6,26,37975.68
2000,6,27,31939.97
2000,6,28,16734.92
2000,6,29,8529.58
2000,6,30,5713.60
2000,7,1,4115.30
2000,7,2,3292.97
2000,7,3,2859.83
2000,7,4,3126.56
2000,7,5,6886.02
2000,7,6,4935.97
2000,7,7,4463.43
2000,7,8,3381.52
2000,7,9,2246.72
2000,7,10,2012.89
2000,7,11,1518.76
2000,7,12,1116.37
2000,7,13,892.55
2000,7,14,631.99
2000,7,15,581.09
2000,7,16,524.41
2000,7,17,422.50
2000,7,18,361.54
2000,7,19,375.07
2000,7,20,424.57
2000,7,21,327.43
2000,7,22,214.72
2000,7,23,211.86
2000,7,24,213.69
2000,7,25,203.19
2000,7,26,217.07
2000,7,27,215.96
2000,7,28,197.33
2000,7,29,288.33
2000,7,30,581.88
2000,7,31,1276.89
2000,8,1,881.40
2000,8,2,1163.79
2000,8,3,945.80
2000,8,4,1299.78
2000,8,5,1111.51
2000,8,6,846.66
2000,8,7,1989.23
2000,8,8,1967.98
2000,8,9,2070.22
2000,8,10,1817.98
2000,8,11,1223.33
2000,8,12,727.81
2000,8,13,677.87
2000,8,14,460.82
2000,8,15,374.46
2000,8,16,278.18
2000,8,17,241.79
2000,8,18,216.26
2000,8,19,188.77
2000,8,20,146.78
2000,8,21,216.92
2000,8,22,236.98
2000,8,23,277.15
2000,8,24,198.14
2000,8,25,296.17
2000,8,26,303.68
2000,8,27,321.77
2000,8,28,637.05
2000,8,29,953.81
2000,8,30,1195.05
2000,8,31,879.49
2000,9,1,689.79
2000,9,2,476.27
2000,9,3,345.26
2000,9,4,255.05
2000,9,5,223.98
2000,9,6,196.34
2000,9,7,201.55
2000,9,8,187.48
2000,9,9,162.48
2000,9,10,248.56
2000,9,11,993.06
2000,9,12,1403.32
2000,9,13,2281.46
2000,9,14,2592.80
2000,9,15,2676.90
2000,9,16,2373.58
2000,9,17,1668.76
2000,9,18,1438.00
2000,9,19,1019.13
2000,9,20,810.84
2000,9,21,606.84
2000,9,22,454.64
2000,9,23,574.91
2000,9,24,1898.66
2000,9,25,2545.51
2000,9,26,2108.33
2000,9,27,1703.19
2000,9,28,1292.90
2000,9,29,942.71
2000,9,30,742.92
2000,10,1,626.32
2000,10,2,425.07
2000,10,3,273.37
2000,10,4,323.79
2000,10,5,553.06
2000,10,6,6505.41
2000,10,7,7260.34
2000,10,8,6309.45
2000,10,9,4413.27
2000,10,10,2657.67
2000,10,11,1732.33
2000,10,12,1055.18
2000,10,13,808.21
2000,10,14,758.63
2000,10,15,543.31
2000,10,16,451.21
2000,10,17,435.80
2000,10,18,574.15
2000,10,19,505.63
2000,10,20,396.71
2000,10,21,314.66
2000,10,22,276.52
2000,10,23,305.86
2000,10,24,339.54
2000,10,25,340.83
2000,10,26,290.03
2000,10,27,257.26
2000,10,28,204.97
2000,10,29,188.60
2000,10,30,163.59
2000,10,31,140.08
2000,11,1,149.54
2000,11,2,262.08
2000,11,3,354.95
2000,11,4,207.19
2000,11,5,117.68
2000,11,6,100.52
2000,11,7,144.52
2000,11,8,157.52
2000,11,9,207.19
2000,11,10,278.91
2000,11,11,221.86
2000,11,12,332.09
2000,11,13,3136.23
2000,11,14,767.83
2000,11,15,609.42
2000,11,16,601.54
2000,11,17,638.63
2000,11,18,457.51
2000,11,19,365.21
2000,11,20,418.32
2000,11,21,374.90
2000,11,22,248.06
2000,11,23,182.15
2000,11,24,190.54
2000,11,25,184.26
2000,11,26,200.01
2000,11,27,239.79
2000,11,28,251.98
2000,11,29,341.29
2000,11,30,346.68
2000,12,1,294.54
2000,12,2,279.34
2000,12,3,263.99
2000,12,4,244.41
2000,12,5,286.35
2000,12,6,157.90
2000,12,7,175.10
2000,12,8,191.90
2000,12,9,174.18
2000,12,10,211.09
2000,12,11,290.09
2000,12,12,2443.58
2000,12,13,2493.55
2000,12,14,2136.03
2000,12,15,1790.16
2000,12,16,2040.46
