year,month,day,flow (cms),,,,,
2000,1,1,14.724736,,,,,
2000,1,2,14.1584,,,,,
2000,1,3,19.82176,,,,,
2000,1,4,25.7116544,,,,,
2000,1,5,30.298976,,,,,
2000,1,6,31.714816,,,,,
2000,1,7,61.447456,,,,,
2000,1,8,44.740544,,,,,
2000,1,9,41.625696,,,,,
2000,1,10,40.776192,,,,,
2000,1,11,46.72272,,,,,
2000,1,12,23.2764096,,,,,
2000,1,13,19.82176,,,,,
2000,1,14,17.556416,,,,,
2000,1,15,16.423744,,,,,
2000,1,16,15.291072,,,,,
2000,1,17,14.441568,,,,,
2000,1,18,13.875232,,,,,
2000,1,19,13.025728,,,,,
2000,1,20,12.459392,,,,,
2000,1,21,11.893056,,,,,
2000,1,22,11.32672,,,,,
2000,1,23,10.760384,,,,,
2000,1,24,10.477216,,,,,
2000,1,25,9.91088,,,,,
2000,1,26,9.627712,,,,,
2000,1,27,9.344544,,,,,
2000,1,28,9.061376,,,,,
2000,1,29,8.778208,,,,,
2000,1,30,8.636624,,,,,
2000,1,31,8.49504,,,,,
2000,2,1,8.211872,,,,,
2000,2,2,7.928704,,,,,
2000,2,3,7.78712,,,,,
2000,2,4,7.645536,,,,,
2000,2,5,7.503952,,,,,
2000,2,6,7.362368,,,,,
2000,2,7,7.220784,,,,,
2000,2,8,7.0792,,,,,
2000,2,9,7.0792,,,,,
2000,2,10,14.1584,,,,,
2000,2,11,19.82176,,,,,
2000,2,12,25.48512,,,,,
2000,2,13,42.4752,,,,,
2000,2,14,82.11872,,,,,
2000,2,15,65.12864,,,,,
2000,2,16,56.6336,,,,,
2000,2,17,50.97024,,,,,
2000,2,18,45.30688,,,,,
2000,2,19,56.6336,,,,,
2000,2,20,101.94048,,,,,
2000,2,21,127.4256,,,,,
2000,2,22,116.09888,,,,,
2000,2,23,263.912576,,,,,
2000,2,24,424.752,,,,,
2000,2,25,472.89056,,,,,
2000,2,26,407.76192,,,,,
2000,2,27,328.47488,,,,,
2000,2,28,328.47488,,,,,
2000,2,29,275.522464,,,,,
2000,3,1,183.209696,,,,,
2000,3,2,136.486976,,,,,
2000,3,3,116.09888,,,,,
2000,3,4,99.391968,,,,,
2000,3,5,72.20784,,,,,
2000,3,6,43.607872,,,,,
2000,3,7,38.794016,,,,,
2000,3,8,32.281152,,,,,
2000,3,9,44.457376,,,,,
2000,3,10,33.98016,,,,,
2000,3,11,37.095008,,,,,
2000,3,12,41.625696,,,,,
2000,3,13,35.396,,,,,
2000,3,14,31.714816,,,,,
2000,3,15,34.829664,,,,,
2000,3,16,35.112832,,,,,
2000,3,17,53.80192,,,,,
2000,3,18,59.748448,,,,,
2000,3,19,69.37616,,,,,
2000,3,20,79.003872,,,,,
2000,3,21,273.25712,,,,,
2000,3,22,351.12832,,,,,
2000,3,23,275.522464,,,,,
2000,3,24,199.067104,,,,,
2000,3,25,163.671104,,,,,
2000,3,26,121.195904,,,,,
2000,3,27,95.710784,,,,,
2000,3,28,112.417696,,,,,
2000,3,29,131.956288,,,,,
