year,month,day,flow (cms)
1975,1,1,206.146304
1975,1,2,224.269056
1975,1,3,235.02944
1975,1,4,191.987904
1975,1,5,146.964192
1975,1,6,121.76224
1975,1,7,109.586016
1975,1,8,142.150336
1975,1,9,523.8608
1975,1,10,744.73184
1975,1,11,894.81088
1975,1,12,807.0288
1975,1,13,631.46464
1975,1,14,458.73216
1975,1,15,345.46496
1975,1,16,262.213568
1975,1,17,165.086944
1975,1,18,141.584
1975,1,19,118.93056
1975,1,20,99.1088
1975,1,21,84.9504
1975,1,22,76.45536
1975,1,23,65.12864
1975,1,24,59.46528
1975,1,25,56.6336
1975,1,26,59.46528
1975,1,27,78.154368
1975,1,28,88.914752
1975,1,29,159.98992
1975,1,30,382.2768
1975,1,31,569.16768
1975,2,1,498.37568
1975,2,2,385.10848
1975,2,3,294.49472
1975,2,4,181.22752
1975,2,5,164.23744
1975,2,6,141.584
1975,2,7,118.93056
1975,2,8,101.94048
1975,2,9,90.61376
1975,2,10,79.28704
1975,2,11,70.792
1975,2,12,65.12864
1975,2,13,59.46528
1975,2,14,53.80192
1975,2,15,50.97024
1975,2,16,48.13856
1975,2,17,53.80192
1975,2,18,147.813696
1975,2,19,356.79168
1975,2,20,523.8608
1975,2,21,373.78176
1975,2,22,255.983872
1975,2,23,577.66272
1975,2,24,1209.12736
1975,2,25,1398.84992
1975,2,26,1381.85984
1975,2,27,1177.97888
1975,2,28,835.3456
1975,3,1,591.82112
1975,3,2,478.55392
1975,3,3,348.29664
1975,3,4,238.710624
1975,3,5,151.778048
1975,3,6,129.974112
1975,3,7,123.461248
1975,3,8,232.764096
1975,3,9,281.468992
1975,3,10,252.302688
1975,3,11,199.63344
1975,3,12,175.280992
1975,3,13,172.166144
1975,3,14,186.607712
1975,3,15,176.130496
1975,3,16,149.795872
1975,3,17,147.813696
1975,3,18,180.378016
1975,3,19,235.02944
1975,3,20,273.540288
1975,3,21,276.0888
1975,3,22,244.657152
1975,3,23,185.758208
1975,3,24,178.39584
1975,3,25,160.839424
1975,3,26,141.017664
1975,3,27,138.185984
1975,3,28,136.486976
1975,3,29,132.522624
1975,3,30,252.302688
1975,3,31,410.5936
1975,4,1,365.28672
1975,4,2,227.95024
1975,4,3,207.278976
1975,4,4,178.39584
1975,4,5,173.298816
1975,4,6,158.857248
1975,4,7,138.185984
1975,4,8,128.84144
1975,4,9,114.68304
1975,4,10,107.037504
1975,4,11,92.312768
1975,4,12,83.817728
1975,4,13,75.03952
1975,4,14,66.261312
1975,4,15,64.845472
1975,4,16,60.597952
1975,4,17,51.819744
1975,4,18,58.332608
1975,4,19,94.011776
1975,4,20,128.84144
1975,4,21,161.972096
1975,4,22,175.280992
1975,4,23,173.298816
1975,4,24,193.120576
1975,4,25,353.96
1975,4,26,413.42528
1975,4,27,302.98976
1975,4,28,218.605696
1975,4,29,305.82144
1975,4,30,362.45504
1975,5,1,325.6432
1975,5,2,294.49472
1975,5,3,210.676992
1975,5,4,178.39584
1975,5,5,149.795872
1975,5,6,230.215584
1975,5,7,382.2768
1975,5,8,264.76208
1975,5,9,212.942336
1975,5,10,182.64336
1975,5,11,169.051296
1975,5,12,153.760224
1975,5,13,128.84144
1975,5,14,102.789984
1975,5,15,85.516736
1975,5,16,60.597952
1975,5,17,59.182112
1975,5,18,57.766272
1975,5,19,54.368256
1975,5,20,55.784096
1975,5,21,217.473024
1975,5,22,300.15808
1975,5,23,538.0192
1975,5,24,611.64288
1975,5,25,396.4352
1975,5,26,200.766112
1975,5,27,185.758208
1975,5,28,151.778048
1975,5,29,115.532544
1975,5,30,90.61376
1975,5,31,73.62368
1975,6,1,70.508832
1975,6,2,89.764256
1975,6,3,127.991936
1975,6,4,176.130496
1975,6,5,314.31648
1975,6,6,385.10848
1975,6,7,308.65312
1975,6,8,207.278976
1975,6,9,148.946368
1975,6,10,112.984032
1975,6,11,98.259296
1975,6,12,112.984032
1975,6,13,170.183968
1975,6,14,163.954272
1975,6,15,183.492864
1975,6,16,639.95968
1975,6,17,605.97952
1975,6,18,421.92032
1975,6,19,203.031456
1975,6,20,167.06912
1975,6,21,125.443424
1975,6,22,108.736512
1975,6,23,102.789984
1975,6,24,92.312768
1975,6,25,154.892896
1975,6,26,209.54432
1975,6,27,254.568032
1975,6,28,214.075008
1975,6,29,146.964192
1975,6,30,101.090976
1975,7,1,75.03952
1975,7,2,60.597952
1975,7,3,50.687072
1975,7,4,89.764256
1975,7,5,135.354304
1975,7,6,101.94048
1975,7,7,96.560288
1975,7,8,85.516736
1975,7,9,66.261312
1975,7,10,60.88112
1975,7,11,44.740544
1975,7,12,34.829664
1975,7,13,40.209856
1975,7,14,41.342528
1975,7,15,30.582144
1975,7,16,29.166304
1975,7,17,26.5328416
1975,7,18,28.3168
1975,7,19,111.568192
1975,7,20,186.607712
1975,7,21,133.938464
1975,7,22,85.516736
1975,7,23,48.988064
1975,7,24,39.64352
1975,7,25,33.130656
1975,7,26,30.015808
1975,7,27,31.14848
1975,7,28,22.5968064
1975,7,29,17.556416
1975,7,30,14.2716672
1975,7,31,13.3938464
1975,8,1,13.0823616
1975,8,2,11.9780064
1975,8,3,18.8589888
1975,8,4,61.164288
1975,8,5,49.271232
1975,8,6,54.368256
1975,8,7,55.21776
1975,8,8,39.360352
1975,8,9,30.298976
1975,8,10,24.8904672
1975,8,11,23.1065088
1975,8,12,18.7457216
1975,8,13,15.6875072
1975,8,14,12.5160256
1975,8,15,22.2570048
1975,8,16,67.677152
1975,8,17,91.746432
1975,8,18,79.28704
1975,8,19,57.483104
1975,8,20,37.661344
1975,8,21,32.281152
1975,8,22,63.7128
1975,8,23,161.122592
1975,8,24,150.645376
1975,8,25,101.090976
1975,8,26,97.69296
1975,8,27,117.797888
1975,8,28,128.558272
1975,8,29,112.417696
1975,8,30,88.348416
1975,8,31,155.176064
1975,9,1,142.150336
1975,9,2,108.453344
1975,9,3,83.251392
1975,9,4,74.473184
1975,9,5,80.70288
1975,9,6,173.581984
1975,9,7,233.6136
1975,9,8,173.298816
1975,9,9,114.966208
1975,9,10,80.136544
1975,9,11,60.88112
1975,9,12,103.639488
1975,9,13,175.56416
1975,9,14,160.839424
1975,9,15,121.195904
1975,9,16,83.53456
1975,9,17,60.597952
1975,9,18,51.819744
1975,9,19,47.289056
1975,9,20,50.97024
1975,9,21,54.651424
1975,9,22,54.934592
1975,9,23,52.102912
1975,9,24,36.528672
1975,9,25,42.4752
1975,9,26,36.528672
1975,9,27,32.56432
1975,9,28,26.334624
1975,9,29,23.36136
1975,9,30,22.8516576
1975,10,1,20.0766112
1975,10,2,18.7457216
1975,10,3,18.7457216
1975,10,4,17.4714656
1975,10,5,17.4714656
1975,10,6,17.0750304
1975,10,7,13.0823616
1975,10,8,14.4132512
1975,10,9,21.0110656
1975,10,10,21.94552
1975,10,11,22.4269056
1975,10,12,22.4269056
1975,10,13,21.4641344
1975,10,14,20.52968
1975,10,15,17.8962176
1975,10,16,14.8946368
1975,10,17,13.0823616
1975,10,18,18.3209696
1975,10,19,57.199936
1975,10,20,133.655296
1975,10,21,153.760224
1975,10,22,136.486976
1975,10,23,105.338496
1975,10,24,79.003872
1975,10,25,66.827648
1975,10,26,51.819744
1975,10,27,48.704896
1975,10,28,40.493024
1975,10,29,33.98016
1975,10,30,31.14848
1975,10,31,28.883136
1975,11,1,28.883136
1975,11,2,25.909872
1975,11,3,26.90096
1975,11,4,80.70288
1975,11,5,36.245504
1975,11,6,24.918784
1975,11,7,27.4106624
1975,11,8,26.90096
1975,11,9,26.90096
1975,11,10,55.784096
1975,11,11,40.493024
1975,11,12,64.845472
1975,11,13,59.182112
1975,11,14,57.766272
1975,11,15,53.80192
1975,11,16,50.687072
1975,11,17,44.457376
1975,11,18,36.81184
1975,11,19,33.413824
1975,11,20,31.714816
1975,11,21,34.546496
1975,11,22,26.90096
1975,11,23,27.9203648
1975,11,24,28.883136
1975,11,25,32.281152
1975,11,26,25.909872
1975,11,27,34.546496
1975,11,28,28.883136
1975,11,29,34.546496
1975,11,30,191.987904
1975,12,1,342.63328
1975,12,2,387.94016
1975,12,3,297.3264
1975,12,4,215.20768
1975,12,5,181.510688
1975,12,6,170.183968
1975,12,7,232.764096
1975,12,8,235.02944
1975,12,9,193.120576
1975,12,10,160.839424
1975,12,11,131.67312
1975,12,12,117.231552
