Year,Month,Day,NO3(mg/L)
1975,1,10,7.6000
1975,1,10,8.0000
1975,1,11,7.6000
1975,1,11,8.4000
1975,1,11,8.4000
1975,1,12,8.2000
1975,1,12,8.0000
1975,1,12,8.0000
1975,1,12,8.0000
1975,1,13,-999.0000
1975,1,13,8.5000
1975,1,13,7.7000
1975,1,14,8.5000
1975,1,15,8.5000
1975,1,16,8.5000
1975,1,17,8.5000
1975,1,18,8.0000
1975,1,19,7.7000
1975,1,20,7.7000
1975,1,21,8.1000
1975,1,22,8.0000
1975,1,23,7.7500
1975,1,24,7.6000
1975,1,25,7.5000
1975,1,26,7.4000
1975,1,27,7.4000
1975,1,28,6.9000
1975,1,29,6.2000
1975,1,30,5.5200
1975,1,31,5.3800
1975,2,1,5.6200
1975,2,2,5.8700
1975,2,3,6.3000
1975,2,5,6.6500
1975,2,6,6.3000
1975,2,7,6.5500
1975,2,8,6.5000
1975,2,9,5.9500
1975,2,10,6.2000
1975,2,11,4.6000
1975,2,12,6.4000
1975,2,13,6.4000
1975,2,14,6.3000
1975,2,15,6.0000
1975,2,16,6.3000
1975,2,17,6.0000
1975,2,21,7.0000
1975,2,22,7.3200
1975,2,23,7.7400
1975,2,24,8.5600
1975,2,25,7.9400
1975,2,26,7.2800
1975,2,27,5.7600
1975,2,28,5.6000
1975,3,1,5.1600
1975,3,2,4.8000
1975,3,3,4.7600
1975,3,4,2.3200
1975,3,6,2.4900
1975,3,7,2.6200
1975,3,8,2.8300
1975,3,9,3.0000
1975,3,10,5.5600
1975,3,11,6.7800
1975,3,12,6.7900
1975,3,13,6.7000
1975,3,14,6.8200
1975,3,15,6.7000
1975,3,16,6.9000
1975,3,17,7.3000
1975,3,20,3.7000
1975,3,21,6.8200
1975,3,22,7.3000
1975,3,23,7.2000
1975,3,24,7.1200
1975,3,26,6.5000
1975,3,27,6.8000
1975,3,28,6.3000
1975,3,29,6.2000
1975,3,30,6.3000
1975,3,31,5.4000
1975,4,1,9.9000
1975,4,1,9.5000
1975,4,2,9.5000
1975,4,2,9.4000
1975,4,2,9.3000
1975,4,3,9.3000
1975,4,3,9.1000
1975,4,3,9.5000
1975,4,3,9.6000
1975,4,4,9.6000
1975,4,4,9.2000
1975,4,4,9.2000
1975,4,4,9.3000
1975,4,5,9.2000
1975,4,5,9.0000
1975,4,5,8.4000
1975,4,5,8.3000
1975,4,6,8.2000
1975,4,6,7.7000
1975,4,6,7.5000
1975,4,6,7.5000
1975,4,7,7.4000
1975,4,7,7.4000
1975,4,7,7.2000
1975,4,7,7.3000
1975,4,8,7.3000
1975,4,8,7.2000
1975,4,8,6.4800
1975,4,8,6.3500
1975,4,8,6.2500
1975,4,9,6.2000
1975,4,9,6.2600
1975,4,9,6.0000
1975,4,9,5.9200
1975,4,10,5.9000
1975,4,10,6.0000
1975,4,10,5.8000
1975,4,10,5.9200
1975,4,11,5.9800
1975,4,11,5.9000
1975,4,11,5.8000
1975,4,11,5.7000
1975,4,12,5.8500
1975,4,12,5.7800
1975,4,12,5.6800
1975,4,12,5.7500
1975,4,13,5.6500
1975,4,13,5.5500
1975,4,13,5.6000
1975,4,13,5.6500
1975,4,14,5.6200
1975,4,14,5.4500
1975,4,14,5.4800
1975,4,14,5.4500
1975,4,15,5.4800
