Year,Month,Day,SRP(mg/L)
1975,1,10,0.1050
1975,1,10,0.0950
1975,1,11,0.0800
1975,1,11,0.0850
1975,1,11,0.1000
1975,1,12,0.0700
1975,1,12,0.0750
1975,1,12,0.0800
1975,1,12,0.0900
1975,1,13,0.3200
1975,1,13,0.0850
1975,1,13,0.0850
1975,1,14,0.1070
1975,1,15,0.0960
1975,1,16,0.1000
1975,1,17,0.0320
1975,1,18,0.0510
1975,1,19,0.1030
1975,1,20,0.1010
1975,1,21,0.1650
1975,1,22,0.1270
1975,1,23,0.1350
1975,1,24,0.1600
1975,1,25,0.1600
1975,1,26,0.1820
1975,1,27,0.1700
1975,1,28,0.1870
1975,1,29,0.1250
1975,1,30,0.1230
1975,1,31,0.1710
1975,2,1,0.1300
1975,2,2,0.1050
1975,2,3,0.1300
1975,2,5,0.1350
1975,2,6,0.1200
1975,2,7,0.0950
1975,2,8,0.1250
1975,2,9,0.1200
1975,2,10,0.1150
1975,2,11,0.1000
1975,2,12,0.1400
1975,2,13,0.1400
1975,2,14,0.1500
1975,2,15,0.1200
1975,2,16,0.1500
1975,2,17,0.1500
1975,2,21,0.1500
1975,2,22,0.1660
1975,2,23,0.0300
1975,2,24,0.1040
1975,2,25,0.1040
1975,2,26,0.0900
1975,2,27,0.1000
1975,2,28,0.1150
1975,3,1,0.0900
1975,3,2,-999.0000
1975,3,3,0.1510
1975,3,4,0.1060
1975,3,6,0.0900
1975,3,7,0.0840
1975,3,8,0.1140
1975,3,9,0.0960
1975,3,10,0.0900
1975,3,11,0.1550
1975,3,12,0.1200
1975,3,13,0.1070
1975,3,14,0.1060
1975,3,15,0.1070
1975,3,16,0.1150
1975,3,17,0.1150
1975,3,20,0.0700
1975,3,21,0.1030
1975,3,22,0.1130
1975,3,23,0.1160
1975,3,24,0.1100
1975,3,26,0.1150
1975,3,27,0.1000
1975,3,28,0.1100
1975,3,29,0.1150
1975,3,30,0.1550
1975,3,31,0.1700
1975,4,1,0.1400
1975,4,1,0.1100
1975,4,2,0.1150
1975,4,2,0.1050
1975,4,2,0.1100
1975,4,3,0.1000
1975,4,3,0.0950
1975,4,3,0.1100
1975,4,3,0.1200
1975,4,4,0.1200
1975,4,4,0.1100
1975,4,4,0.1000
1975,4,4,0.0950
1975,4,5,0.1050
1975,4,5,0.1000
1975,4,5,0.0600
1975,4,5,0.0850
1975,4,6,0.1000
1975,4,6,0.1000
1975,4,6,0.1100
1975,4,6,0.1100
1975,4,7,0.0800
1975,4,7,0.0850
1975,4,7,0.0850
1975,4,7,0.1050
1975,4,8,0.1100
1975,4,8,0.1000
1975,4,8,0.1000
1975,4,8,0.0900
1975,4,8,0.0900
1975,4,9,0.0800
1975,4,9,0.0800
1975,4,9,0.0900
1975,4,9,0.0800
1975,4,10,0.0900
1975,4,10,0.0800
1975,4,10,0.0800
1975,4,10,0.0800
1975,4,11,0.0800
1975,4,11,0.0800
1975,4,11,0.0800
1975,4,11,0.0800
1975,4,12,0.0800
1975,4,12,0.0800
1975,4,12,0.0700
1975,4,12,0.0700
1975,4,13,0.0700
1975,4,13,0.0800
1975,4,13,0.0700
1975,4,13,0.0600
1975,4,14,0.0800
1975,4,14,-999.0000
1975,4,14,-999.0000
1975,4,14,-999.0000
1975,4,15,0.1000
1975,4,15,0.0600
1975,4,16,0.0500
1975,4,17,0.0450
1975,4,18,0.0250
1975,4,19,0.0900
1975,4,20,0.0350
1975,4,21,0.0250
1975,4,22,0.0700
1975,4,22,0.0700
1975,4,22,0.0700
1975,4,23,0.0800
1975,4,23,0.0700
1975,4,23,0.0800
1975,4,23,0.0750
1975,4,24,0.0800
1975,4,24,0.0800
1975,4,24,0.1200
1975,4,24,0.0800
1975,4,25,0.0800
1975,4,25,0.0750
1975,4,25,0.0750
1975,4,25,0.0700
1975,4,26,0.0750
1975,4,26,0.0900
1975,4,26,0.0950
1975,4,26,0.0800
1975,4,27,0.0800
1975,4,27,0.0700
1975,4,27,0.1000
1975,4,27,0.0900
1975,4,28,0.0900
1975,4,28,0.0800
1975,4,28,0.0800
1975,4,28,0.0900
1975,4,29,0.0800
1975,4,29,0.0920
1975,4,30,0.1230
1975,5,1,0.0980
1975,5,2,0.1050
1975,5,3,0.1100
1975,5,4,0.0900
1975,5,5,0.0950
1975,5,6,0.0870
1975,5,6,0.1180
1975,5,7,0.1260
1975,5,8,0.1100
1975,5,9,0.0920
1975,5,10,0.0780
1975,5,11,0.0910
1975,5,12,0.0650
1975,5,15,0.0360
1975,5,16,0.0660
1975,5,17,0.0830
1975,5,18,0.0510
1975,5,19,0.0370
1975,5,20,0.0550
1975,5,20,0.0980
1975,5,20,0.0950
1975,5,20,0.0930
1975,5,21,0.0650
1975,5,21,0.1050
1975,5,21,0.1150
1975,5,21,0.0850
1975,5,22,0.1000
1975,5,22,0.1150
1975,5,22,0.1150
1975,5,22,0.1000
1975,5,23,0.1120
1975,5,23,0.0950
1975,5,23,0.0470
1975,5,23,0.1020
1975,5,24,0.1200
1975,5,24,0.1100
1975,5,24,0.0850
1975,5,24,0.1050
1975,5,25,0.0280
1975,5,25,0.1100
1975,5,25,0.1070
1975,5,25,0.0950
1975,5,26,0.1150
1975,5,26,0.0550
1975,5,26,0.1050
1975,5,26,0.1050
1975,5,27,0.0930
1975,5,27,0.1480
1975,5,27,0.1420
1975,5,27,0.1500
1975,5,28,0.1500
1975,5,28,0.1900
1975,5,28,0.1450
1975,5,28,0.1400
1975,5,29,0.1450
1975,5,29,0.1400
1975,5,29,0.1450
1975,5,29,0.1450
1975,5,30,0.1450
1975,5,30,0.1400
1975,5,30,0.1310
1975,5,30,0.1370
1975,5,31,0.1400
1975,5,31,0.1380
1975,5,31,0.1300
1975,5,31,0.1210
1975,6,1,0.1220
1975,6,1,0.1200
1975,6,1,0.1150
1975,6,1,0.1170
1975,6,2,0.1200
1975,6,2,0.1150
1975,6,2,0.1500
1975,6,2,0.1400
1975,6,3,0.1480
1975,6,3,0.1300
1975,6,3,0.1300
1975,6,3,0.1310
1975,6,4,0.1390
1975,6,4,0.1400
1975,6,4,0.1450
1975,6,4,0.1420
1975,6,5,0.1400
1975,6,5,0.1300
1975,6,5,0.1200
1975,6,5,0.1100
1975,6,6,0.1000
1975,6,6,0.1000
1975,6,6,0.1050
1975,6,7,0.1170
1975,6,7,0.1140
1975,6,7,0.1070
1975,6,7,0.1040
1975,6,8,0.1000
1975,6,8,0.1050
1975,6,8,0.1000
1975,6,8,0.1050
1975,6,9,0.1030
1975,6,9,0.1040
1975,6,9,0.1020
1975,6,9,0.1190
1975,6,9,0.1100
1975,6,10,0.1440
1975,6,10,0.1110
1975,6,10,0.1020
1975,6,10,0.0900
1975,6,11,0.1040
1975,6,11,0.0960
1975,6,11,0.1010
1975,6,11,0.0900
1975,6,12,0.0840
1975,6,12,0.1020
1975,6,12,0.1050
1975,6,12,0.0920
1975,6,13,0.0990
1975,6,13,0.0980
1975,6,13,0.1030
1975,6,13,0.0920
1975,6,14,0.0900
1975,6,14,0.0930
1975,6,14,0.1000
1975,6,14,0.1050
1975,6,15,0.1020
1975,6,15,0.1080
1975,6,15,0.1110
1975,6,15,0.1080
1975,6,16,0.1260
1975,6,16,0.1350
1975,6,17,0.1150
1975,6,18,0.1100
1975,6,19,0.1000
1975,6,20,0.0950
1975,6,21,0.1000
1975,6,22,0.0950
1975,6,23,0.0900
1975,6,24,0.1180
1975,6,25,0.1430
1975,6,26,0.1370
1975,6,27,0.1420
1975,6,28,0.1550
1975,6,29,0.1550
1975,6,30,0.1150
1975,7,1,0.1200
1975,7,1,0.1380
1975,7,2,0.1450
1975,7,3,0.1480
1975,7,4,0.1520
1975,7,5,0.1500
1975,7,6,0.1400
1975,7,7,0.1400
1975,7,8,-999.0000
1975,7,8,-999.0000
1975,7,9,-999.0000
1975,7,10,-999.0000
1975,7,11,-999.0000
1975,7,12,-999.0000
1975,7,13,-999.0000
1975,7,14,-999.0000
1975,7,15,-999.0000
1975,7,15,0.1100
1975,7,16,0.0750
1975,7,16,0.1000
1975,7,17,0.1000
1975,7,17,0.1100
1975,7,18,0.0870
1975,7,18,0.0850
1975,7,19,0.0750
1975,7,19,0.0700
1975,7,20,0.0650
1975,7,20,0.1000
1975,7,21,0.1100
1975,7,21,0.0450
1975,7,22,0.0400
1975,7,22,0.0400
1975,7,22,0.1070
1975,7,23,0.0710
1975,7,24,0.0650
1975,7,25,0.0750
1975,7,26,0.0350
1975,7,27,0.0750
1975,7,28,0.0550
1975,7,29,0.0100
1975,7,29,0.1270
1975,7,30,0.1240
1975,7,31,0.1050
1975,8,1,0.0910
1975,8,2,0.0800
1975,8,3,0.0840
1975,8,4,0.0600
1975,8,5,0.1150
1975,8,5,0.1370
1975,8,6,0.1060
1975,8,7,0.0830
1975,8,8,0.0820
1975,8,9,0.0610
1975,8,10,0.0580
1975,8,11,0.0540
1975,8,12,0.0990
1975,9,2,0.1320
1975,9,3,0.1420
1975,9,4,0.1360
1975,9,5,0.1290
1975,9,6,0.1670
1975,9,6,0.1320
1975,9,6,0.1480
1975,9,7,0.1360
1975,9,7,0.1600
1975,9,7,0.1430
1975,9,7,0.1570
1975,9,8,0.1540
1975,9,8,0.1560
1975,9,8,0.1600
1975,9,8,0.1860
1975,9,9,0.1820
1975,9,9,0.1780
1975,9,9,0.1880
