Year,Month,Day,Sediment(mg/L)
1975,1,10,499.0000
1975,1,10,579.0000
1975,1,11,656.0000
1975,1,11,670.0000
1975,1,11,632.0000
1975,1,12,305.0000
1975,1,12,671.0000
1975,1,12,252.0000
1975,1,12,372.0000
1975,1,13,408.0000
1975,1,13,267.0000
1975,1,13,571.0000
1975,1,14,241.0000
1975,1,15,227.0000
1975,1,16,157.0000
1975,1,17,90.0000
1975,1,18,77.0000
1975,1,19,64.0000
1975,1,20,50.0000
1975,1,21,-999.0000
1975,1,22,-999.0000
1975,1,23,-999.0000
1975,1,24,-999.0000
1975,1,25,-999.0000
1975,1,26,-999.0000
1975,1,27,-999.0000
1975,1,28,17.0000
1975,1,29,81.0000
1975,1,30,160.0000
1975,1,31,473.0000
1975,2,1,444.0000
1975,2,2,362.0000
1975,2,3,208.0000
1975,2,5,144.0000
1975,2,6,126.0000
1975,2,7,136.0000
1975,2,8,70.0000
1975,2,9,58.0000
1975,2,10,50.0000
1975,2,11,39.0000
1975,2,12,33.0000
1975,2,13,36.0000
1975,2,14,33.0000
1975,2,15,29.0000
1975,2,16,28.0000
1975,2,17,22.0000
1975,2,21,143.0000
1975,2,22,83.0000
1975,2,23,253.0000
1975,2,24,657.0000
1975,2,25,714.0000
1975,2,26,703.0000
1975,2,27,208.0000
1975,2,28,440.0000
1975,3,1,341.0000
1975,3,2,265.0000
1975,3,3,135.0000
1975,3,4,119.0000
1975,3,6,39.4000
1975,3,7,50.8000
1975,3,8,53.6000
1975,3,9,47.9000
1975,3,10,149.0000
1975,3,11,28.2000
1975,3,12,58.7000
1975,3,13,61.6000
1975,3,14,20.8000
1975,3,15,44.4000
1975,3,16,32.4000
1975,3,17,21.2000
1975,3,20,51.6000
1975,3,21,80.9000
1975,3,22,74.5000
1975,3,23,66.6000
1975,3,24,90.8000
1975,3,26,57.9000
1975,3,27,61.3000
1975,3,28,49.3000
1975,3,29,46.3000
1975,3,30,65.2000
1975,3,31,146.0000
1975,4,1,240.0000
1975,4,1,216.0000
1975,4,2,190.0000
1975,4,2,173.0000
1975,4,2,241.0000
1975,4,3,200.0000
1975,4,3,188.0000
1975,4,3,177.0000
1975,4,3,173.0000
1975,4,4,152.0000
1975,4,4,151.0000
1975,4,4,129.0000
1975,4,4,110.0000
1975,4,5,106.0000
1975,4,5,97.9000
1975,4,5,86.3000
1975,4,5,88.5000
1975,4,6,80.2000
1975,4,6,73.9000
1975,4,6,74.3000
1975,4,6,80.4000
1975,4,7,71.7000
1975,4,7,72.6000
1975,4,7,75.3000
1975,4,7,74.7000
1975,4,8,73.5000
1975,4,8,67.8000
1975,4,8,63.3000
1975,4,8,67.9000
1975,4,8,76.0000
1975,4,9,64.7000
1975,4,9,63.7000
1975,4,9,69.8000
1975,4,9,63.3000
1975,4,10,57.9000
1975,4,10,53.7000
1975,4,10,50.0000
1975,4,10,58.3000
1975,4,11,54.2000
1975,4,11,45.7000
1975,4,11,49.5000
1975,4,11,54.3000
1975,4,12,47.5000
1975,4,12,49.5000
1975,4,12,52.9000
1975,4,12,61.6000
1975,4,13,55.5000
1975,4,13,53.2000
1975,4,13,50.6000
1975,4,13,56.3000
1975,4,14,58.1000
1975,4,14,49.4000
1975,4,14,56.4000
1975,4,14,50.9000
1975,4,15,42.2000
1975,4,15,32.8000
1975,4,16,32.9000
1975,4,17,35.4000
1975,4,18,67.6000
1975,4,19,112.0000
1975,4,20,70.2000
1975,4,21,63.5000
1975,4,22,77.9000
1975,4,22,63.5000
1975,4,22,79.1000
1975,4,23,78.9000
1975,4,23,72.9000
1975,4,23,81.5000
1975,4,23,75.8000
1975,4,24,112.0000
1975,4,24,74.9000
1975,4,24,92.5000
1975,4,24,86.6000
1975,4,25,210.0000
1975,4,25,124.0000
1975,4,25,194.0000
1975,4,25,188.0000
1975,4,26,262.0000
1975,4,26,237.0000
1975,4,26,296.0000
1975,4,26,278.0000
1975,4,27,171.0000
1975,4,27,252.0000
1975,4,27,218.0000
1975,4,27,192.0000
1975,4,28,123.0000
1975,4,28,152.0000
1975,4,28,144.0000
1975,4,28,124.0000
1975,4,29,119.0000
1975,4,29,114.0000
1975,4,30,161.0000
1975,5,1,153.0000
1975,5,2,157.0000
1975,5,3,120.0000
1975,5,4,90.6000
1975,5,5,83.1000
1975,5,6,88.1000
1975,5,6,109.0000
1975,5,7,101.0000
1975,5,8,214.0000
1975,5,9,189.0000
1975,5,10,187.0000
1975,5,11,159.0000
1975,5,12,140.0000
1975,5,15,146.0000
1975,5,16,99.6000
1975,5,17,115.0000
1975,5,18,106.0000
1975,5,19,88.8000
1975,5,20,85.6000
1975,5,20,72.4000
1975,5,20,79.0000
1975,5,20,74.8000
1975,5,21,110.0000
1975,5,21,96.1000
1975,5,21,125.0000
1975,5,21,131.0000
1975,5,22,138.0000
1975,5,22,111.0000
1975,5,22,195.0000
1975,5,22,260.0000
1975,5,23,412.0000
1975,5,23,522.0000
1975,5,23,575.0000
1975,5,23,671.0000
1975,5,24,664.0000
1975,5,24,822.0000
1975,5,24,700.0000
1975,5,24,699.0000
1975,5,25,469.0000
1975,5,25,398.0000
1975,5,25,370.0000
1975,5,25,366.0000
1975,5,26,271.0000
1975,5,26,299.0000
1975,5,26,299.0000
1975,5,26,266.0000
1975,5,27,302.0000
1975,5,27,264.0000
1975,5,27,265.0000
1975,5,27,235.0000
1975,5,28,226.0000
1975,5,28,279.0000
1975,5,28,254.0000
1975,5,28,199.0000
1975,5,29,196.0000
1975,5,29,166.0000
1975,5,29,146.0000
1975,5,29,141.0000
1975,5,30,156.0000
1975,5,30,155.0000
1975,5,30,146.0000
1975,5,30,112.0000
1975,5,31,237.0000
1975,5,31,137.0000
1975,5,31,105.0000
1975,5,31,103.0000
1975,6,1,133.0000
1975,6,1,113.0000
1975,6,1,109.0000
1975,6,1,111.0000
1975,6,2,135.0000
1975,6,2,133.0000
1975,6,2,213.0000
1975,6,2,150.0000
1975,6,3,164.0000
1975,6,3,170.0000
1975,6,3,162.0000
1975,6,3,182.0000
1975,6,4,197.0000
1975,6,4,187.0000
1975,6,4,167.0000
1975,6,4,179.0000
1975,6,5,187.0000
1975,6,5,168.0000
