Year,Month,Day,TN(mg/L)
1975,1,10,-991.4000
1975,1,10,-991.0000
1975,1,11,-991.4000
1975,1,11,-990.6000
1975,1,11,-990.6000
1975,1,12,-990.8000
1975,1,12,-991.0000
1975,1,12,-991.0000
1975,1,12,-991.0000
1975,1,13,-1998.0000
1975,1,13,-990.5000
1975,1,13,-991.3000
1975,1,14,-990.5000
1975,1,15,-990.5000
1975,1,16,-990.5000
1975,1,17,-990.5000
1975,1,18,-991.0000
1975,1,19,-991.3000
1975,1,20,-991.3000
1975,1,21,-990.9000
1975,1,22,-991.0000
1975,1,23,-991.2500
1975,1,24,-991.4000
1975,1,25,-991.5000
1975,1,26,-991.6000
1975,1,27,-991.6000
1975,1,28,-992.1000
1975,1,29,-992.8000
1975,1,30,-993.4800
1975,1,31,-993.6200
1975,2,1,-993.3800
1975,2,2,-993.1300
1975,2,3,-992.7000
1975,2,5,-992.3500
1975,2,6,-992.7000
1975,2,7,-992.4500
1975,2,8,-992.5000
1975,2,9,-993.0500
1975,2,10,-992.8000
1975,2,11,-994.4000
1975,2,12,-992.6000
1975,2,13,-992.6000
1975,2,14,-992.7000
1975,2,15,-993.0000
1975,2,16,-992.7000
1975,2,17,-993.0000
1975,2,21,-992.0000
1975,2,22,-991.6800
1975,2,23,-991.2600
1975,2,24,-990.4400
1975,2,25,-991.0600
1975,2,26,-991.7200
1975,2,27,-993.2400
1975,2,28,-993.4000
1975,3,1,-993.8400
1975,3,2,-994.2000
1975,3,3,-994.2400
1975,3,4,-996.6800
1975,3,6,-996.5100
1975,3,7,-996.3800
1975,3,8,-996.1700
1975,3,9,-996.0000
1975,3,10,-993.4400
1975,3,11,-992.2200
1975,3,12,-992.2100
1975,3,13,-992.3000
1975,3,14,-992.1800
1975,3,15,-992.3000
1975,3,16,-992.1000
1975,3,17,-991.7000
1975,3,20,-995.3000
1975,3,21,-992.1800
1975,3,22,-991.7000
1975,3,23,-991.8000
1975,3,24,-991.8800
1975,3,26,-992.5000
1975,3,27,-992.2000
1975,3,28,-992.7000
1975,3,29,-992.8000
1975,3,30,-992.7000
1975,3,31,-993.6000
1975,4,1,-989.1000
1975,4,1,-989.5000
1975,4,2,-989.5000
1975,4,2,-989.6000
1975,4,2,-989.7000
1975,4,3,-989.7000
1975,4,3,-989.9000
1975,4,3,-989.5000
1975,4,3,-989.4000
1975,4,4,-989.4000
1975,4,4,-989.8000
1975,4,4,-989.8000
1975,4,4,-989.7000
1975,4,5,-989.8000
1975,4,5,-990.0000
1975,4,5,-990.6000
1975,4,5,-990.7000
1975,4,6,-990.8000
1975,4,6,-991.3000
1975,4,6,-991.5000
1975,4,6,-991.5000
1975,4,7,-991.6000
1975,4,7,-991.6000
1975,4,7,-991.8000
1975,4,7,-991.7000
1975,4,8,-991.7000
1975,4,8,-991.8000
1975,4,8,-992.5200
1975,4,8,-992.6500
1975,4,8,-992.7500
1975,4,9,-992.8000
1975,4,9,-992.7400
1975,4,9,-993.0000
1975,4,9,-993.0800
1975,4,10,-993.1000
1975,4,10,-993.0000
1975,4,10,-993.2000
1975,4,10,-993.0800
1975,4,11,-993.0200
1975,4,11,-993.1000
1975,4,11,-993.2000
1975,4,11,-993.3000
1975,4,12,-993.1500
1975,4,12,-993.2200
1975,4,12,-993.3200
1975,4,12,-993.2500
1975,4,13,-993.3500
1975,4,13,-993.4500
1975,4,13,-993.4000
1975,4,13,-993.3500
1975,4,14,-993.3800
1975,4,14,-993.5500
1975,4,14,-993.5200
1975,4,14,-993.5500
1975,4,15,-993.5200
1975,4,15,-993.5000
1975,4,16,-993.7000
1975,4,17,-994.0000
1975,4,18,-994.1000
1975,4,19,-992.4000
1975,4,20,-994.0000
1975,4,21,-994.1000
1975,4,22,-992.6000
1975,4,22,-992.9000
1975,4,22,-992.6000
1975,4,23,-993.1000
1975,4,23,-992.6000
1975,4,23,-992.7000
1975,4,23,-992.8000
1975,4,24,-993.1000
1975,4,24,-993.4000
1975,4,24,-994.6000
1975,4,24,-993.4000
1975,4,25,-991.8000
1975,4,25,-992.9000
1975,4,25,-991.9000
1975,4,25,-991.8000
1975,4,26,-991.6000
1975,4,26,-992.0000
1975,4,26,-991.8000
1975,4,26,-991.6000
1975,4,27,-990.9000
1975,4,27,-991.6000
1975,4,27,-991.6000
1975,4,27,-991.6000
1975,4,28,-990.3000
1975,4,28,-990.8000
1975,4,28,-990.6000
1975,4,28,-990.4000
1975,4,29,-990.2000
1975,4,29,-990.5000
1975,4,30,-990.8000
1975,5,1,-991.6000
1975,5,2,-990.8000
1975,5,3,-990.4000
1975,5,4,-991.0000
1975,5,5,-991.8000
1975,5,6,-992.0000
1975,5,6,-990.9800
1975,5,7,-988.3000
1975,5,8,-987.1000
1975,5,9,-988.2000
1975,5,10,-989.4600
1975,5,11,-990.9500
1975,5,12,-991.6000
1975,5,15,-994.5400
1975,5,16,-994.3800
1975,5,17,-994.9000
1975,5,18,-995.3200
1975,5,19,-995.6800
1975,5,20,-995.9000
1975,5,20,-995.4600
1975,5,20,-995.4700
1975,5,20,-995.7300
1975,5,21,-995.5300
1975,5,21,-995.6700
1975,5,21,-995.9100
1975,5,21,-996.2600
1975,5,22,-995.6600
1975,5,22,-995.3200
1975,5,22,-995.0200
1975,5,22,-994.0800
1975,5,23,-992.5400
1975,5,23,-990.5900
1975,5,23,-990.3700
1975,5,23,-990.6700
1975,5,24,-990.8900
1975,5,24,-991.7100
1975,5,24,-991.1800
1975,5,24,-990.5500
1975,5,25,-990.3800
1975,5,25,-989.9500
1975,5,25,-989.6600
1975,5,25,-989.7700
1975,5,26,-989.7300
1975,5,26,-989.4100
1975,5,26,-989.5100
1975,5,26,-989.4900
1975,5,27,-989.2700
1975,5,27,-988.8000
1975,5,27,-988.7000
1975,5,27,-988.9000
1975,5,28,-989.7000
1975,5,28,-990.1300
1975,5,28,-989.9500
1975,5,28,-989.8200
1975,5,29,-989.4500
1975,5,29,-989.7000
1975,5,29,-989.7000
1975,5,29,-989.7000
1975,5,30,-989.7000
1975,5,30,-989.8500
1975,5,30,-989.9500
1975,5,30,-990.0000
1975,5,31,-990.1000
1975,5,31,-990.2500
1975,5,31,-990.4000
1975,5,31,-990.5000
1975,6,1,-990.5500
1975,6,1,-990.7000
1975,6,1,-990.8000
1975,6,1,-991.1500
1975,6,2,-991.4300
1975,6,2,-991.7000
1975,6,2,-1998.0000
1975,6,2,-1998.0000
1975,6,3,-1998.0000
1975,6,3,-1998.0000
1975,6,3,-1998.0000
1975,6,3,-1998.0000
1975,6,4,-1998.0000
1975,6,4,-1998.0000
1975,6,4,-1998.0000
1975,6,4,-1998.0000
1975,6,5,-1998.0000
1975,6,5,-1998.0000
1975,6,5,-1998.0000
1975,6,5,-1998.0000
1975,6,6,-1998.0000
1975,6,6,-989.3000
1975,6,6,-988.7000
1975,6,7,-989.2000
1975,6,7,-989.2000
1975,6,7,-989.3300
1975,6,7,-989.3300
1975,6,8,-989.5200
1975,6,8,-989.5200
1975,6,8,-989.3300
1975,6,8,-989.2500
1975,6,9,-989.1500
1975,6,9,-989.3200
1975,6,9,-988.7000
1975,6,9,-990.5000
1975,6,9,-990.5000
1975,6,10,-990.6500
1975,6,10,-989.3000
1975,6,10,-989.4000
1975,6,10,-989.4000
1975,6,11,-989.4000
1975,6,11,-989.5000
1975,6,11,-989.5300
1975,6,11,-989.8300
1975,6,12,-990.0000
1975,6,12,-990.2000
1975,6,12,-990.2000
1975,6,12,-990.3500
1975,6,13,-990.3300
1975,6,13,-990.3500
1975,6,13,-990.4000
1975,6,13,-990.8000
1975,6,14,-991.0000
1975,6,14,-992.1200
1975,6,14,-992.4000
1975,6,14,-992.7500
1975,6,15,-992.9000
1975,6,15,-993.0500
1975,6,15,-993.0000
1975,6,15,-992.7000
1975,6,16,-992.2500
1975,6,16,-989.4700
1975,6,17,-990.5700
1975,6,18,-990.0200
1975,6,19,-989.6300
1975,6,20,-989.6800
1975,6,21,-990.0200
1975,6,22,-989.6800
1975,6,23,-990.1600
1975,6,24,-990.4300
1975,6,25,-990.6300
1975,6,26,-991.0500
1975,6,27,-992.5400
1975,6,28,-993.4500
1975,6,29,-993.6900
1975,6,30,-994.2200
1975,7,1,-994.2700
1975,7,1,-994.0000
1975,7,2,-994.1200
1975,7,3,-994.1000
1975,7,4,-993.9900
1975,7,5,-993.7900
1975,7,6,-993.9700
1975,7,7,-994.4700
1975,7,8,-994.0800
1975,7,8,-1998.0000
1975,7,9,-1998.0000
1975,7,10,-1998.0000
1975,7,11,-1998.0000
1975,7,12,-1998.0000
1975,7,13,-1998.0000
1975,7,14,-1998.0000
1975,7,15,-1998.0000
1975,7,15,-994.8900
1975,7,16,-994.9200
1975,7,16,-994.7200
1975,7,17,-994.7500
1975,7,17,-995.1500
1975,7,18,-995.5400
1975,7,18,-995.7500
1975,7,19,-996.1500
1975,7,19,-996.7000
1975,7,20,-996.5000
1975,7,20,-996.3200
1975,7,21,-996.1800
1975,7,21,-996.4300
1975,7,22,-996.4900
1975,7,22,-996.7300
1975,7,22,-998.2400
1975,7,23,-996.3200
1975,7,24,-996.1600
1975,7,25,-996.3600
1975,7,26,-996.4800
1975,7,27,-996.7600
1975,7,28,-996.9800
1975,7,29,-997.1000
1975,7,29,-996.8200
1975,7,30,-997.1400
1975,7,31,-997.2300
1975,8,1,-997.3800
1975,8,2,-997.4800
1975,8,3,-997.5200
1975,8,4,-997.4400
1975,8,5,-997.2700
1975,8,5,-996.5200
1975,8,6,-997.2000
1975,8,7,-997.4700
1975,8,8,-997.5100
1975,8,9,-997.6400
1975,8,10,-997.8700
1975,8,11,-998.1400
1975,8,12,-998.1500
1975,9,2,-997.0600
1975,9,3,-996.8500
1975,9,4,-996.8100
1975,9,5,-996.9000
1975,9,6,-997.0500
1975,9,6,-997.0400
1975,9,6,-996.7700
1975,9,7,-996.7900
1975,9,7,-996.8200
1975,9,7,-996.9300
1975,9,7,-996.9600
1975,9,8,-996.9400
1975,9,8,-996.9700
1975,9,8,-997.0600
1975,9,8,-997.0900
1975,9,9,-997.3800
1975,9,9,-997.1200
1975,9,9,-997.0600
1975,9,9,-997.0900
1975,9,10,-997.1600
1975,9,10,-997.1600
1975,9,10,-997.1800
1975,9,10,-997.1700
1975,9,11,-997.1700
1975,9,11,-997.1100
1975,9,11,-997.0000
1975,9,11,-996.9600
1975,9,12,-996.9100
1975,9,12,-996.8500
1975,9,12,-996.8400
1975,9,12,-996.9100
1975,9,13,-996.9200
1975,9,15,-997.1900
1975,9,16,-997.0400
1975,9,17,-996.8800
1975,9,18,-996.8900
1975,9,19,-996.9900
1975,9,20,-997.1100
1975,9,21,-997.0500
1975,9,22,-996.8900
1975,9,22,-996.8700
1975,9,23,-996.8700
1975,9,24,-996.9400
1975,9,25,-996.8900
1975,9,26,-996.8700
1975,9,27,-996.9600
1975,9,28,-996.9600
1975,9,29,-997.0100
1975,9,29,-997.5700
1975,9,30,-997.0400
1975,10,1,-997.0900
1975,10,2,-997.1000
1975,10,3,-997.1200
1975,10,4,-997.1600
1975,10,5,-997.2700
1975,10,6,-997.2600
1975,10,6,-997.2900
1975,10,7,-997.2400
1975,10,8,-997.4200
1975,10,9,-997.5200
1975,10,10,-997.3300
1975,10,11,-997.4100
1975,10,12,-997.6900
1975,10,13,-997.7500
1975,10,13,-997.8100
1975,10,13,-998.0700
1975,10,13,-998.0400
1975,10,14,-998.0600
1975,10,14,-997.8900
1975,10,14,-998.3100
1975,10,14,-998.2400
1975,10,15,-998.3200
1975,10,15,-998.3100
1975,10,15,-998.4300
1975,10,15,-998.2900
1975,10,16,-998.4200
1975,10,16,-998.4700
1975,10,16,-998.5200
1975,10,16,-998.5500
1975,10,17,-998.6200
1975,10,17,-998.6500
1975,10,17,-998.6800
1975,10,17,-998.6400
1975,10,18,-998.7000
1975,10,18,-998.6700
1975,10,18,-998.5500
1975,10,18,-998.3700
1975,10,19,-998.2700
1975,10,19,-997.3800
1975,10,19,-996.6400
1975,10,19,-996.2000
1975,10,20,-995.7200
1975,10,20,-994.7200
1975,10,21,-996.0000
1975,10,22,-996.6900
1975,10,23,-995.9500
1975,10,24,-995.6700
1975,10,25,-995.8400
1975,10,26,-995.6700
1975,10,27,-995.7700
1975,10,27,-995.7600
1975,10,28,-995.6900
1975,10,29,-995.5700
1975,10,30,-995.1400
1975,10,31,-994.8900
1975,11,1,-994.8200
1975,11,2,-994.7500
1975,11,3,-994.7600
1975,11,3,-994.4200
1975,11,4,-994.6900
1975,11,5,-994.8900
1975,11,6,-995.1600
1975,11,7,-995.4800
1975,11,8,-995.8000
1975,11,9,-995.9800
1975,11,10,-996.3200
1975,11,10,-996.4200
1975,11,11,-996.4600
1975,11,12,-996.6200
1975,11,13,-996.4800
1975,11,14,-997.0100
1975,11,15,-997.3700
1975,11,16,-997.3900
1975,11,17,-997.3500
1975,11,24,-997.0100
1975,11,25,-997.1000
1975,11,26,-996.8800
1975,11,27,-996.8200
1975,11,28,-996.7000
1975,11,29,-997.3900
1975,11,30,-995.3100
1975,12,1,-995.0100
1975,12,1,-994.1000
1975,12,2,-993.7000
1975,12,3,-993.9000
1975,12,4,-993.6000
1975,12,5,-992.8000
1975,12,6,-992.3000
1975,12,7,-992.2000
1975,12,8,-992.4000
1975,12,8,-993.5000
1975,12,9,-993.9000
1975,12,10,-994.0000
1975,12,11,-994.3000
1975,12,12,-994.6000
1975,12,13,-994.6000
1975,12,14,-994.6000
1975,12,14,-994.6000
1975,12,15,-994.4000
1975,12,15,-994.0000
1975,12,15,-993.1000
1975,12,15,-992.5000
1975,12,15,-992.0000
1975,12,16,-992.2000
1975,12,16,-992.5000
1975,12,16,-992.8000
1975,12,16,-992.7000
1975,12,17,-992.7000
1975,12,17,-992.9000
1975,12,17,-992.8000
1975,12,17,-992.9000
1975,12,18,-992.8000
1975,12,18,-992.7000
1975,12,18,-992.6000
1975,12,18,-992.6000
1975,12,19,-992.5000
1975,12,19,-992.4000
1975,12,19,-992.5000
1975,12,19,-992.5000
1975,12,20,-992.5000
1975,12,20,-992.5000
1975,12,20,-992.5000
1975,12,20,-992.6000
1975,12,21,-992.6000
1975,12,21,-992.7000
1975,12,21,-992.7000
1975,12,21,-992.8000
1975,12,22,-992.9000
1975,12,22,-992.9000
1975,12,23,-993.0000
1975,12,24,-993.2000
1975,12,25,-993.4000
1975,12,26,-993.6000
1975,12,27,-993.7000
1975,12,28,-993.9000
1975,12,29,-994.1000
1975,12,29,-993.9000
1975,12,30,-993.7000
1975,12,31,-993.9000
1976,1,1,-993.8000
1976,1,2,-994.7000
1976,1,3,-994.5000
1976,1,4,-994.6000
1976,1,5,-994.8000
1976,1,6,-994.8000
1976,1,7,-994.7000
1976,1,8,-994.5000
1976,1,9,-994.4000
1976,1,10,-994.3000
1976,1,11,-994.3000
1976,1,12,-994.4000
1976,1,13,5.8900
1976,1,14,5.8900
1976,1,15,5.8600
1976,1,16,5.9100
1976,1,17,5.5900
1976,1,18,6.5100
1976,1,19,6.6200
1976,1,19,-994.5000
1976,1,20,-995.4000
1976,1,21,-995.5000
1976,1,22,-995.7000
1976,1,23,-995.8000
1976,1,24,-995.8000
1976,1,25,-995.9000
1976,1,25,-996.0000
1976,1,26,-996.0000
1976,1,26,-996.5000
1976,1,26,-996.5000
1976,1,26,-996.8000
1976,1,27,-996.8000
1976,1,27,-996.6000
1976,1,27,-996.7000
1976,1,27,-996.6000
1976,1,28,-996.6000
1976,1,28,-996.4000
1976,1,28,-996.2000
1976,1,28,-996.6000
1976,1,29,-996.9000
1976,1,29,-996.8000
1976,1,29,-997.0000
1976,1,29,-996.8000
1976,1,30,-996.9000
1976,1,30,-996.8000
1976,1,30,-996.8000
1976,1,30,-996.7000
1976,1,31,-996.8000
1976,1,31,-996.8000
1976,1,31,-996.8000
1976,1,31,-996.7000
1976,2,1,-996.7000
1976,2,1,-996.7000
1976,2,1,-996.7000
1976,2,1,-996.6000
1976,2,2,-996.5000
1976,2,2,-996.3000
1976,2,2,-996.3000
1976,2,2,-996.2000
1976,2,3,-996.2000
1976,2,3,-996.4000
1976,2,4,-996.3000
1976,2,5,-996.4000
1976,2,6,-996.4000
1976,2,7,-996.4000
1976,2,8,-996.4000
1976,2,9,-996.4000
1976,2,9,2.8500
1976,2,9,-997.3000
1976,2,9,-997.2000
1976,2,10,-997.2000
1976,2,10,2.8500
1976,2,10,-997.1000
1976,2,10,-997.3000
1976,2,11,-997.9000
1976,2,11,2.8700
1976,2,11,-997.7000
1976,2,11,-997.8000
1976,2,12,-997.5000
1976,2,12,2.9300
1976,2,12,-997.8000
1976,2,13,-997.7000
1976,2,13,3.2900
1976,2,13,-997.8000
1976,2,13,-998.1000
1976,2,14,-998.2000
1976,2,14,4.3600
1976,2,14,-998.2000
1976,2,14,-998.4000
1976,2,15,-998.2000
1976,2,15,2.7500
1976,2,15,-998.2000
1976,2,15,-998.2000
1976,2,16,3.8600
1976,2,16,-996.2000
1976,2,16,-995.9000
1976,2,16,-995.8000
1976,2,17,-995.9000
1976,2,17,-996.0000
1976,2,17,-995.7000
1976,2,17,-995.4000
1976,2,18,-995.2000
1976,2,18,-995.0000
1976,2,18,-994.8000
1976,2,19,-994.7000
1976,2,19,-994.6000
1976,2,19,-994.5000
1976,2,19,-994.4000
1976,2,20,-994.4000
1976,2,20,-994.4000
1976,2,20,-994.5000
1976,2,20,-994.3000
1976,2,21,-994.3000
1976,2,21,-994.4000
1976,2,21,-994.3000
1976,2,21,-994.2000
1976,2,22,-994.3000
1976,2,22,-994.1000
1976,2,22,-994.1000
1976,2,22,-994.1000
1976,2,23,-994.2000
1976,2,23,-998.0600
1976,2,24,-997.4800
1976,2,25,-997.3300
1976,2,26,-997.5000
1976,2,27,-998.0600
1976,2,28,-997.8800
1976,2,29,-997.4000
1976,3,1,-997.6400
1976,3,1,-1998.0000
1976,3,2,-1998.0000
1976,3,2,-1998.0000
1976,3,3,-998.7000
1976,3,3,-998.8000
1976,3,3,-998.8000
1976,3,3,-998.8000
1976,3,4,-998.6000
1976,3,4,-998.5000
1976,3,4,-998.5000
1976,3,4,-998.5000
1976,3,5,-998.5000
1976,3,5,-998.5000
1976,3,5,-998.5000
1976,3,5,-998.5000
1976,3,6,-998.4000
1976,3,6,-998.4000
1976,3,6,-998.4000
1976,3,6,-998.5000
1976,3,7,-998.5000
1976,3,7,-998.4000
1976,3,7,-998.5000
1976,3,7,-998.5000
1976,3,8,-998.3000
1976,3,8,5.5000
1976,3,9,5.0000
1976,3,10,4.8600
1976,3,11,5.1600
1976,3,12,5.9200
1976,3,13,5.3600
1976,3,14,5.5000
1976,3,15,4.4400
1976,3,15,-995.7000
1976,3,16,-995.7000
1976,3,17,-995.9000
1976,3,18,-995.8000
1976,3,19,-995.7000
1976,3,20,-995.9000
1976,3,21,-995.8000
1976,3,22,-995.9000
1976,3,22,-995.9000
1976,3,23,-996.0000
1976,3,24,-996.0000
1976,3,25,-995.8000
1976,3,26,-995.9000
1976,3,27,-996.0000
1976,3,28,-996.2000
1976,3,29,-996.1000
1976,3,29,-995.7000
1976,3,30,-996.5000
1976,3,31,-996.0000
1976,4,1,-996.2000
1976,4,2,-996.2500
1976,4,3,-996.4500
1976,4,4,-996.5500
1976,4,5,-996.6000
1976,4,5,-996.3000
1976,4,6,-996.4000
1976,4,7,-996.6000
1976,4,8,-997.0000
1976,4,9,-997.2000
1976,4,10,-997.4000
1976,4,11,-997.5000
1976,4,12,-997.8000
1976,4,13,-997.7000
1976,4,14,-998.0000
1976,4,15,-998.0000
1976,4,16,-998.3000
1976,4,17,-998.3000
1976,4,18,-998.3000
1976,4,19,-998.3000
1976,4,19,-998.1000
1976,4,20,-998.3000
1976,4,21,-998.4000
1976,4,22,-998.4000
1976,4,23,-998.6000
1976,4,24,-998.7000
1976,4,25,-997.7000
1976,4,26,-995.7000
1976,4,26,-995.5000
1976,4,27,-994.3000
1976,4,28,-995.2000
1976,4,29,-994.4000
1976,4,30,-992.0000
1976,5,1,-992.6000
1976,5,2,-992.7000
1976,5,3,-993.0000
1976,5,3,-992.4000
1976,5,4,-992.7000
1976,5,5,-993.1000
1976,5,6,-993.5000
1976,5,7,-993.5000
1976,5,8,-994.0000
1976,5,9,-993.0000
1976,5,10,-994.4000
