Year,Month,Day,TP(mg/L)
1975,1,10,0.8700
1975,1,10,1.0500
1975,1,11,1.2900
1975,1,11,1.1200
1975,1,11,1.0800
1975,1,12,1.0400
1975,1,12,1.0400
1975,1,12,0.9100
1975,1,12,0.9000
1975,1,13,0.6800
1975,1,13,0.9900
1975,1,13,0.8200
1975,1,14,0.6500
1975,1,15,0.5720
1975,1,16,0.5030
1975,1,17,0.3820
1975,1,18,0.3300
1975,1,19,0.3220
1975,1,20,0.2780
1975,1,21,0.2600
1975,1,22,0.2200
1975,1,23,0.2000
1975,1,24,0.2000
1975,1,25,0.1900
1975,1,26,0.1900
1975,1,27,0.1900
1975,1,28,0.2500
1975,1,29,0.3100
1975,1,30,0.4800
1975,1,31,0.8000
1975,2,1,0.8000
1975,2,2,0.7200
1975,2,3,0.6700
1975,2,5,0.4500
1975,2,6,0.4300
1975,2,7,0.4400
1975,2,8,0.3780
1975,2,9,0.3300
1975,2,10,0.3100
1975,2,11,0.1600
1975,2,12,0.2000
1975,2,13,0.1900
1975,2,14,0.2000
1975,2,15,0.2000
1975,2,16,0.2000
1975,2,17,0.1900
1975,2,21,0.3770
1975,2,22,0.3960
1975,2,23,0.4060
1975,2,24,0.9110
1975,2,25,1.1200
1975,2,26,1.1100
1975,2,27,0.8860
1975,2,28,0.7270
1975,3,1,0.6030
1975,3,2,-999.0000
1975,3,3,0.4180
1975,3,4,0.3400
1975,3,6,0.2550
1975,3,7,0.2270
1975,3,8,0.2310
1975,3,9,0.2240
1975,3,10,0.2500
1975,3,11,0.3000
1975,3,12,0.2500
1975,3,13,0.2200
1975,3,14,0.2300
1975,3,15,0.2100
1975,3,16,0.2100
1975,3,17,0.2000
1975,3,20,0.1700
1975,3,21,0.2600
1975,3,22,0.3400
1975,3,23,0.3000
1975,3,24,0.3350
1975,3,26,-999.0000
1975,3,27,-999.0000
1975,3,28,-999.0000
1975,3,29,-999.0000
1975,3,30,-999.0000
1975,3,31,-999.0000
1975,4,1,0.5630
1975,4,1,0.5270
1975,4,2,0.4430
1975,4,2,0.4570
1975,4,2,0.4850
1975,4,3,0.4850
1975,4,3,0.4570
1975,4,3,0.4220
1975,4,3,0.3590
1975,4,4,0.4080
1975,4,4,0.4010
1975,4,4,0.3450
1975,4,4,0.3020
1975,4,5,0.2950
1975,4,5,0.2460
1975,4,5,0.2460
1975,4,5,0.2100
1975,4,6,0.1270
1975,4,6,0.2110
