year,month,day,sediment(t)
2000,1,1,9.80
2000,1,2,7.71
2000,1,3,12.23
2000,1,4,23.46
2000,1,5,27.23
2000,1,6,27.06
2000,1,7,80.54
2000,1,8,35.84
2000,1,9,25.84
2000,1,10,38.92
2000,1,11,66.40
2000,1,12,17.25
2000,1,13,16.90
2000,1,14,12.55
2000,1,15,14.06
2000,1,16,9.24
2000,1,17,7.86
2000,1,18,8.56
2000,1,19,6.45
2000,1,20,6.53
2000,1,21,5.18
2000,1,22,6.51
2000,1,23,5.04
2000,1,24,4.91
2000,1,25,3.25
2000,1,26,5.27
2000,1,27,4.08
2000,1,28,3.45
2000,1,29,4.21
2000,1,30,3.40
2000,1,31,2.92
2000,2,1,3.82
2000,2,2,4.61
2000,2,3,3.31
2000,2,4,2.57
2000,2,5,3.25
2000,2,6,2.66
2000,2,7,2.74
2000,2,8,2.91
2000,2,9,2.88
2000,2,10,4.93
2000,2,11,11.59
2000,2,12,11.61
2000,2,13,19.62
2000,2,14,74.86
2000,2,15,59.62
2000,2,16,34.25
2000,2,17,51.44
2000,2,18,66.39
2000,2,19,76.80
2000,2,20,132.56
2000,2,21,179.75
2000,2,22,130.73
2000,2,23,4752.25
2000,2,24,6635.84
2000,2,25,8256.94
2000,2,26,6720.83
2000,2,27,5228.87
2000,2,28,4126.86
2000,2,29,3134.11
2000,3,1,1805.51
2000,3,2,922.04
2000,3,3,749.88
2000,3,4,639.14
2000,3,5,292.71
2000,3,6,165.40
2000,3,7,179.25
2000,3,8,141.69
2000,3,9,403.32
2000,3,10,88.66
2000,3,11,166.47
2000,3,12,95.67
2000,3,13,318.02
2000,3,14,99.50
2000,3,15,236.49
2000,3,16,248.16
2000,3,17,178.24
2000,3,18,150.52
2000,3,19,267.62
2000,3,20,447.64
2000,3,21,4336.03
2000,3,22,5651.57
2000,3,23,4245.53
2000,3,24,2007.00
2000,3,25,1641.23
2000,3,26,1023.43
2000,3,27,574.00
2000,3,28,569.49
2000,3,29,807.27
2000,3,30,992.92
2000,3,31,859.99
2000,4,1,1057.92
2000,4,2,878.71
2000,4,3,336.22
2000,4,4,210.32
2000,4,5,125.59
2000,4,6,250.76
2000,4,7,333.18
2000,4,8,464.78
2000,4,9,1859.23
2000,4,10,3600.51
2000,4,11,5752.66
2000,4,12,3035.70
2000,4,13,2580.91
2000,4,14,1433.20
2000,4,15,2157.97
2000,4,16,1679.03
2000,4,17,1205.79
2000,4,18,838.73
2000,4,19,946.98
2000,4,20,9585.83
2000,4,21,70216.49
2000,4,22,52152.71
2000,4,23,27916.33
2000,4,24,9692.03
2000,4,25,3120.42
2000,4,26,1461.60
2000,4,27,936.02
2000,4,28,687.12
2000,4,29,475.86
2000,4,30,371.27
2000,5,1,256.55
2000,5,2,396.91
2000,5,3,523.89
2000,5,4,372.48
2000,5,5,229.14
2000,5,6,382.72
2000,5,7,190.14
2000,5,8,170.83
2000,5,9,169.10
2000,5,10,2069.34
2000,5,11,2072.74
2000,5,12,1115.67
2000,5,13,565.42
2000,5,14,514.02
2000,5,15,306.56
2000,5,16,279.05
2000,5,17,207.81
2000,5,18,266.95
2000,5,19,1415.92
2000,5,20,4394.99
2000,5,21,5176.60
2000,5,22,2895.69
2000,5,23,1605.61
2000,5,24,6689.30
2000,5,25,5179.83
2000,5,26,2152.98
2000,5,27,1316.37
2000,5,28,4634.80
2000,5,29,14433.55
2000,5,30,12992.03
2000,5,31,5486.88
2000,6,1,2077.45
2000,6,2,1229.75
2000,6,3,843.71
2000,6,4,471.10
2000,6,5,399.34
2000,6,6,1312.32
2000,6,7,11009.39
2000,6,8,5230.97
2000,6,9,1891.87
2000,6,10,689.33
2000,6,11,270.70
2000,6,12,42.80
2000,6,13,391.60
2000,6,14,2960.64
2000,6,15,19638.17
2000,6,16,36407.80
2000,6,17,21445.99
2000,6,18,11428.33
2000,6,19,11072.72
2000,6,20,9507.43
2000,6,21,11387.93
2000,6,22,14059.21
2000,6,23,9193.81
2000,6,24,3774.52
2000,6,25,5567.48
2000,6,26,22899.49
2000,6,27,17657.62
2000,6,28,6678.42
2000,6,29,2649.12
2000,6,30,1516.63
2000,7,1,1013.90
2000,7,2,831.46
2000,7,3,727.46
2000,7,4,867.18
2000,7,5,2423.23
2000,7,6,1587.59
2000,7,7,1309.41
2000,7,8,861.93
2000,7,9,614.55
2000,7,10,480.88
2000,7,11,419.39
2000,7,12,292.96
2000,7,13,239.49
2000,7,14,160.70
2000,7,15,155.13
2000,7,16,139.56
2000,7,17,91.18
2000,7,18,119.74
2000,7,19,111.75
2000,7,20,111.08
2000,7,21,90.66
2000,7,22,68.50
2000,7,23,80.85
2000,7,24,83.92
2000,7,25,70.20
2000,7,26,76.82
2000,7,27,76.34
2000,7,28,58.71
2000,7,29,122.32
2000,7,30,150.41
2000,7,31,279.36
2000,8,1,193.06
2000,8,2,269.03
2000,8,3,169.91
2000,8,4,228.40
2000,8,5,171.43
2000,8,6,221.41
2000,8,7,518.70
2000,8,8,529.46
2000,8,9,534.32
2000,8,10,411.25
2000,8,11,292.50
2000,8,12,181.33
2000,8,13,151.84
2000,8,14,109.98
2000,8,15,83.48
2000,8,16,55.98
2000,8,17,47.52
2000,8,18,35.80
2000,8,19,35.14
2000,8,20,34.95
2000,8,21,51.69
2000,8,22,49.17
2000,8,23,58.72
2000,8,24,47.77
2000,8,25,84.12
2000,8,26,66.08
2000,8,27,91.18
2000,8,28,144.98
2000,8,29,267.49
2000,8,30,322.16
2000,8,31,225.29
2000,9,1,221.84
2000,9,2,137.01
2000,9,3,98.06
2000,9,4,62.75
2000,9,5,56.46
2000,9,6,60.66
2000,9,7,38.07
2000,9,8,44.91
2000,9,9,41.00
2000,9,10,67.89
2000,9,11,210.49
2000,9,12,403.44
2000,9,13,650.74
2000,9,14,753.10
2000,9,15,776.29
2000,9,16,522.38
2000,9,17,408.32
2000,9,18,201.98
2000,9,19,243.20
2000,9,20,196.77
2000,9,21,124.65
2000,9,22,103.19
2000,9,23,124.87
2000,9,24,479.34
2000,9,25,673.83
2000,9,26,523.10
2000,9,27,426.99
2000,9,28,357.18
2000,9,29,183.89
2000,9,30,151.43
2000,10,1,127.89
2000,10,2,88.67
2000,10,3,66.12
2000,10,4,92.00
2000,10,5,128.11
2000,10,6,1467.46
2000,10,7,1543.81
2000,10,8,1259.05
2000,10,9,830.49
2000,10,10,488.27
2000,10,11,298.76
2000,10,12,184.42
2000,10,13,148.29
2000,10,14,140.82
2000,10,15,93.58
2000,10,16,71.13
2000,10,17,66.51
2000,10,18,87.51
2000,10,19,93.69
2000,10,20,91.73
2000,10,21,54.61
2000,10,22,51.59
2000,10,23,50.92
2000,10,24,59.89
2000,10,25,60.91
2000,10,26,43.21
2000,10,27,47.61
2000,10,28,38.43
2000,10,29,27.64
2000,10,30,22.55
2000,10,31,24.42
2000,11,1,33.98
2000,11,2,51.68
2000,11,3,73.50
2000,11,4,45.73
2000,11,5,24.04
2000,11,6,28.90
2000,11,7,29.95
2000,11,8,36.71
2000,11,9,42.98
2000,11,10,63.91
2000,11,11,34.52
2000,11,12,68.21
2000,11,13,127.93
2000,11,14,138.57
2000,11,15,101.05
2000,11,16,121.55
2000,11,17,94.75
2000,11,18,73.64
2000,11,19,32.97
2000,11,20,48.90
2000,11,21,31.63
2000,11,22,20.42
2000,11,23,11.87
2000,11,24,11.30
2000,11,25,9.80
2000,11,26,15.02
2000,11,27,16.50
2000,11,28,21.04
2000,11,29,14.63
2000,11,30,16.58
2000,12,1,14.54
2000,12,2,17.67
2000,12,3,14.26
2000,12,4,13.44
2000,12,5,22.58
2000,12,6,12.73
2000,12,7,10.12
2000,12,8,12.17
2000,12,9,10.82
2000,12,10,11.71
